County,County Name,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,46,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,379,NA,2688,NA,446,NA,188,NA,191,NA,3892,0,3892
03,Baltimore City,46,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,2673,NA,12767,NA,4963,NA,1829,NA,3109,NA,25341,0,25341
03,Baltimore City,46,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,39,NA,322,NA,98,NA,38,NA,39,NA,536,0,536
03,Baltimore City,46,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,19,NA,141,NA,57,NA,22,NA,29,NA,268,0,268
03,Baltimore City,46,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,31,NA,175,NA,41,NA,26,NA,25,NA,298,0,298
03,Baltimore City,46,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,1,NA,2,NA,0,NA,0,NA,0,NA,3,0,3
03,Baltimore City,46,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,3,NA,44,NA,16,NA,1,NA,7,NA,71,0,71
03,Baltimore City,46,Comptroller,Barry Glassman,REP,NA,NA,529,NA,3847,NA,785,NA,307,NA,388,NA,5856,0,5856
03,Baltimore City,46,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,2607,NA,12164,NA,4840,NA,1780,NA,2981,NA,24372,0,24372
03,Baltimore City,46,Comptroller,Other Write-Ins,NA,NA,Y,4,NA,19,NA,4,NA,3,NA,5,NA,35,0,35
03,Baltimore City,46,Attorney General,Michael Anthony Peroutka,REP,NA,NA,464,NA,3328,NA,601,NA,249,NA,243,NA,4885,0,4885
03,Baltimore City,46,Attorney General,Anthony G. Brown,DEM,Y,NA,2645,NA,12543,NA,5002,NA,1842,NA,3101,NA,25133,0,25133
03,Baltimore City,46,Attorney General,Other Write-Ins,NA,NA,Y,8,NA,31,NA,8,NA,1,NA,6,NA,54,0,54
03,Baltimore City,46,U.S. Senator,Chris Chaffee,REP,NA,NA,426,NA,3123,NA,536,NA,236,NA,209,NA,4530,0,4530
03,Baltimore City,46,U.S. Senator,Chris Van Hollen,DEM,Y,NA,2706,NA,12835,NA,5088,NA,1860,NA,3148,NA,25637,0,25637
03,Baltimore City,46,U.S. Senator,Scottie Griffin,DEM,NA,Y,0,NA,0,NA,1,NA,1,NA,0,NA,2,0,2
03,Baltimore City,46,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,1
03,Baltimore City,46,U.S. Senator,Other Write-Ins,NA,NA,Y,4,NA,28,NA,5,NA,3,NA,8,NA,48,0,48
03,Baltimore City,46,U.S. Congress,Scott M. Collier,REP,NA,NA,481,NA,3435,NA,650,NA,265,NA,262,NA,5093,0,5093
03,Baltimore City,46,U.S. Congress,Kweisi Mfume,DEM,Y,NA,2626,NA,12395,NA,4903,NA,1803,NA,3080,NA,24807,0,24807
03,Baltimore City,46,U.S. Congress,Other Write-Ins,NA,NA,Y,9,NA,29,NA,16,NA,6,NA,10,NA,70,0,70
03,Baltimore City,46,State Senator,Emmanuel Digman,REP,NA,NA,412,NA,3122,NA,510,NA,222,NA,220,NA,4486,0,4486
03,Baltimore City,46,State Senator,Bill Ferguson,DEM,Y,NA,2688,NA,12631,NA,5024,NA,1561,NA,3073,NA,24977,0,24977
03,Baltimore City,46,State Senator,Other Write-Ins,NA,NA,Y,5,NA,31,NA,8,NA,2,NA,4,NA,50,0,50
03,Baltimore City,46,House of Delegates,Pete Waters,REP,NA,NA,506,NA,3712,NA,710,NA,272,NA,292,NA,5492,0,5492
03,Baltimore City,46,House of Delegates,Luke Clippinger,DEM,Y,NA,2436,NA,11115,NA,4552,NA,1292,NA,2767,NA,22162,0,22162
03,Baltimore City,46,House of Delegates,Mark Edelson,DEM,Y,NA,2463,NA,11116,NA,4462,NA,1312,NA,2750,NA,22103,0,22103
03,Baltimore City,46,House of Delegates,Robbyn Lewis,DEM,Y,NA,2458,NA,11257,NA,4456,NA,1341,NA,2762,NA,22274,0,22274
03,Baltimore City,46,House of Delegates,Other Write-Ins,NA,NA,Y,35,NA,164,NA,29,NA,9,NA,28,NA,265,0,265
03,Baltimore City,46,Judge Circuit Court,Erik Atas,JUD,Y,NA,1635,NA,7821,NA,2971,NA,828,NA,1735,NA,14990,0,14990
03,Baltimore City,46,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,1657,NA,7750,NA,2872,NA,814,NA,1671,NA,14764,0,14764
03,Baltimore City,46,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,1880,NA,9155,NA,3267,NA,1084,NA,1933,NA,17319,0,17319
03,Baltimore City,46,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,1776,NA,8341,NA,3076,NA,914,NA,1778,NA,15885,0,15885
03,Baltimore City,46,Judge Circuit Court,Other Write-Ins,NA,NA,Y,54,NA,249,NA,48,NA,25,NA,30,NA,406,0,406
03,Baltimore City,46,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,1994,430,9487,2791,3462,599,1104,292,1937,360,17984,4472,22456
03,Baltimore City,46,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,1887,486,9160,2875,3126,814,1080,290,1736,505,16989,4970,21959
03,Baltimore City,46,State's Attorney,Ivan Bates,DEM,Y,NA,2847,NA,14043,NA,5126,NA,1733,NA,3072,NA,26821,0,26821
03,Baltimore City,46,State's Attorney,Other Write-Ins,NA,NA,Y,47,NA,287,NA,59,NA,26,NA,29,NA,448,0,448
03,Baltimore City,46,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,2356,NA,12338,NA,4218,NA,1611,NA,2562,NA,23085,0,23085
03,Baltimore City,46,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,72,NA,309,NA,109,NA,26,NA,62,NA,578,0,578
03,Baltimore City,46,Register of Wills,Belinda K. Conaway,DEM,Y,NA,2403,NA,12400,NA,4323,NA,1611,NA,2582,NA,23319,0,23319
