Councilmanic,Voted_of_Registered_Adults,Voted_of_Adjusted_Total_Adults,Registered_of_Adjusted_Total_Adults,Hispanic_Latino_of_Total_Adjusted_Adults,Female_of_Voted,Male_of_Voted,UnknownSex_of_Voted,Ages16to17_of_Voted,Ages18to29_of_Voted,Ages30to49_of_Voted,Ages50to64_of_Voted,Ages65plus_of_Voted,UnknownAge_of_Voted,Female_of_Registered,Male_of_Registered,UnknownSex_of_Registered,Ages16to17_of_Registered,Ages18to29_of_Registered,Ages30to49_of_Registered,Ages50to64_of_Registered,Ages65plus_of_Registered,UnknownAge_of_Registered,Votes_by_Mail_Percent,In_Person_Votes_Percent,Provisional_Votes_Percent,Number_of_Democrat_Candidates,Number_of_Republican_Candidates,Precinct
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,03-001
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,03-002
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,05-001
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,05-002
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,07-001
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,08-005
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,08-006
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,09-013
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,09-014
012,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1,09-015
