Legislative,Voted_of_Registered_Adults,Voted_of_Adjusted_Total_Adults,Registered_of_Adjusted_Total_Adults,Hispanic_Latino_of_Total_Adjusted_Adults,Female_of_Voted,Male_of_Voted,UnknownSex_of_Voted,Ages16to17_of_Voted,Ages18to29_of_Voted,Ages30to49_of_Voted,Ages50to64_of_Voted,Ages65plus_of_Voted,UnknownAge_of_Voted,Female_of_Registered,Male_of_Registered,UnknownSex_of_Registered,Ages16to17_of_Registered,Ages18to29_of_Registered,Ages30to49_of_Registered,Ages50to64_of_Registered,Ages65plus_of_Registered,UnknownAge_of_Registered,Precinct
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,05-002
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,06-003
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,07-001
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,07-002
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,07-003
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,07-004
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-001
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-002
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-003
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-004
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-005
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-006
45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,08-007
