Legislative,Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop
46,001-001,Adj,1893,1901,1649,1657,1424,1174,158,3,83,0,6,59,174
46,001-002,Adj,2482,2485,2174,2176,1873,1646,103,2,107,0,15,93,210
46,001-003,Adj,2034,2038,1855,1859,1674,1525,51,4,89,0,5,64,121
46,001-004,Adj,3158,3159,2917,2918,2668,2345,151,9,151,0,12,97,153
46,001-005,Adj,3575,3580,3228,3233,2943,2734,83,5,104,0,17,112,178
46,002-001,Adj,1630,1636,1403,1409,1090,737,220,3,124,0,6,46,273
46,002-002,Adj,2439,2445,2142,2148,1700,1450,112,1,127,1,9,108,340
46,002-003,Adj,3394,3395,3142,3143,2797,2387,154,8,228,2,18,121,225
46,003-001,Adj,1883,1925,1331,1373,1155,215,893,4,37,1,5,50,168
46,003-002,Adj,1283,1312,1056,1085,1013,328,604,1,77,0,3,30,42
46,003-003,Adj,3246,3253,3046,3053,2706,1975,234,9,465,0,23,129,218
46,004-001,Adj,2618,2622,2517,2521,2191,1056,676,2,443,0,14,148,182
40,004-002,Adj,4968,4981,4681,4694,4138,1672,1577,3,862,0,24,233,323
40,004-003,Adj,867,886,635,654,621,40,546,2,27,0,6,16,17
46,005-001,Adj,1728,1764,1228,1264,1173,40,1125,0,2,0,6,57,34
45,005-002,Adj,213,216,189,192,187,10,173,0,4,0,0,2,3
46,006-001,Adj,2448,2478,1763,1793,1117,177,890,3,42,0,5,69,607
46,006-002,Adj,1353,1380,984,1011,799,174,592,0,27,0,6,31,181
45,006-003,Adj,724,732,599,607,529,64,396,5,51,0,13,25,53
46,006-004,Adj,1888,1893,1602,1607,1332,720,419,8,176,0,9,57,218
46,006-005,Adj,3613,3633,2985,3004,2434,1529,739,20,138,1,7,102,468
45,007-001,Adj,1764,1795,1237,1268,1218,95,1067,1,55,0,0,27,23
45,007-002,Adj,816,818,710,712,657,159,273,4,221,0,0,29,26
45,007-003,Adj,2948,3023,2193,2266,2027,124,1857,12,32,0,2,62,177
45,007-004,Adj,3114,3196,2293,2374,1998,104,1864,6,19,0,5,78,298
45,008-001,Unadj,123,123,102,102,98,59,37,0,2,0,0,2,2
45,008-002,Adj,1840,1874,1385,1419,1365,133,1224,0,7,0,1,36,18
45,008-003,Adj,2210,2246,1619,1654,1605,58,1523,3,14,0,7,26,23
45,008-004,Adj,504,524,366,386,370,5,354,1,0,0,10,15,1
45,008-005,Adj,1743,1780,1402,1439,1377,35,1335,0,7,0,0,33,29
45,008-006,Adj,2809,2878,2179,2248,2139,48,2070,2,13,0,6,54,55
45,008-007,Adj,1806,1851,1326,1371,1282,40,1229,6,3,0,4,28,61
43,008-008,Adj,1079,1084,864,869,811,454,323,3,26,0,5,33,25
45,008-009,Adj,93,96,73,76,71,12,57,0,1,0,1,2,3
45,008-010,Adj,3594,3652,2807,2863,2712,56,2624,15,6,0,11,51,100
45,008-011,Adj,654,666,517,529,479,23,452,0,2,2,0,24,26
43,009-001,Adj,903,928,719,744,712,59,637,1,10,0,5,25,7
43,009-002,Adj,1261,1278,1050,1067,1010,143,863,0,3,0,1,34,23
43,009-003,Adj,1582,1608,1307,1333,1245,331,885,1,24,0,4,35,53
43,009-004,Adj,2381,2397,2048,2064,1939,531,1330,6,63,2,7,67,58
43,009-005,Adj,1872,1893,1562,1583,1508,344,1153,1,7,1,2,51,24
43,009-006,Adj,2133,2159,1763,1788,1713,109,1587,2,14,0,1,29,46
43,009-007,Adj,2048,2096,1585,1633,1536,148,1368,2,9,0,9,51,46
43,009-008,Adj,1430,1466,1116,1150,1088,18,1049,1,8,0,12,35,27
43,009-009,Adj,1142,1164,860,882,815,109,687,3,9,1,6,28,39
43,009-010,Adj,1644,1666,1272,1293,1156,244,870,5,30,0,7,42,95
43,009-011,Adj,437,449,319,331,305,8,289,0,2,0,6,11,15
43,009-012,Adj,1814,1856,1389,1431,1367,34,1322,6,2,0,3,42,22
45,009-013,Adj,658,679,506,527,497,17,471,6,3,0,0,7,23
43,009-014,Adj,1660,1724,1274,1337,1288,57,1223,2,4,0,2,28,21
45,009-015,Adj,2405,2455,1767,1815,1764,27,1719,10,0,0,8,26,25
45,010-001,Adj,1219,1239,958,978,934,18,911,0,3,0,2,20,24
45,010-002,Adj,1461,1495,1086,1119,1086,14,1064,6,0,0,2,21,12
46,010-003,Adj,3339,1229,2965,937,900,81,823,1,1,0,-6,21,16
45,010-004,Adj,715,733,604,622,596,17,571,3,4,0,1,17,9
45,011-001,Adj,2212,2215,2108,2111,1853,1165,440,9,231,0,8,88,170
45,011-002,Adj,760,762,723,725,613,232,273,1,104,0,3,53,59
40,011-003,Adj,2329,2334,2133,2138,1931,968,683,0,267,0,13,83,124
44,011-004,Unadj,126,126,91,91,70,4,66,0,0,0,0,14,7
40,011-005,Adj,2233,2260,1878,1904,1743,730,895,5,99,0,14,87,74
40,011-006,Adj,3450,3478,3311,3339,2999,1479,1098,4,410,1,7,141,199
45,011-007,Adj,2024,2028,1962,1966,1741,1180,395,2,151,0,13,94,131
43,012-001,Adj,4631,4634,4215,4218,3834,2395,256,0,1153,0,30,193,191
43,012-002,Adj,314,315,251,252,230,158,59,0,11,0,2,7,15
43,012-003,Adj,1136,1137,1033,1034,948,519,104,0,321,0,4,23,63
43,012-004,Adj,4408,4410,4225,4227,3570,1671,372,0,1495,1,31,228,429
43,012-005,Adj,2255,2257,2093,2095,1848,1122,208,2,499,0,17,91,156
43,012-006,Adj,1560,1561,1472,1473,1228,804,188,3,226,1,6,97,148
43,012-007,Adj,1762,1787,1469,1493,1290,477,766,2,40,0,5,74,129
43,012-008,Adj,2146,2152,1948,1954,1706,998,551,7,132,3,15,80,168
43,012-009,Adj,2363,2377,2123,2137,1880,1207,498,5,154,3,13,87,170
43,012-010,Adj,2376,2397,2072,2093,1863,527,1265,4,55,2,10,65,165
43,012-011,Adj,1387,1405,1136,1154,1049,243,755,2,48,0,1,51,54
45,012-012,Adj,2293,2294,1999,2000,1771,707,976,4,78,0,6,103,126
40,012-013,Unadj,229,229,220,220,165,41,14,4,106,0,0,20,35
41,013-001,Adj,2257,2258,2058,2059,1945,1243,223,1,458,0,20,49,65
40,013-002,Adj,1544,1547,1405,1408,1307,1020,199,1,83,0,4,52,49
40,013-003,Adj,2694,2701,2372,2379,2167,1949,120,6,80,0,12,98,114
40,013-004,Adj,1552,1556,1298,1302,1195,1026,51,3,107,0,8,45,62
40,013-005,Adj,1131,1136,989,994,911,727,149,3,26,0,6,37,46
40,013-006,Adj,837,858,668,689,650,33,611,4,0,0,2,27,12
40,013-007,Adj,1585,1625,1261,1301,1238,59,1170,1,5,0,3,36,27
40,013-008,Adj,2186,2221,1734,1769,1659,209,1411,8,12,0,19,62,48
40,013-009,Adj,1566,1582,1322,1338,1247,126,1100,11,8,0,2,65,26
40,013-010,Adj,1898,1926,1581,1609,1506,276,1194,2,29,0,5,66,37
43,013-011,Adj,2661,2665,2383,2387,2183,1983,72,5,117,0,6,105,99
40,013-012,Adj,1987,1989,1755,1757,1639,1408,52,3,162,0,14,67,51
40,013-013,Unadj,143,143,125,125,110,102,6,0,2,0,0,9,6
40,014-001,Adj,2050,2055,1929,1934,1693,859,370,0,452,0,12,97,144
40,014-002,Adj,1137,1153,971,986,933,398,503,2,21,1,8,22,31
44,014-003,Adj,1328,1355,906,933,890,44,833,2,7,0,4,25,18
44,014-004,Adj,3024,3069,2469,2514,2371,441,1865,8,44,4,9,87,56
40,014-005,Adj,596,609,470,483,454,4,446,2,0,1,1,19,10
41,015-001,Adj,2022,2047,1655,1679,1613,40,1547,8,9,0,9,30,36
41,015-002,Adj,1318,1337,1020,1039,1001,61,926,5,6,0,3,17,21
41,015-003,Adj,2845,2875,2276,2306,2205,42,2138,14,8,2,1,43,58
40,015-004,Adj,1096,1108,885,896,866,12,836,5,7,1,5,17,13
40,015-005,Adj,1501,1514,1241,1254,1177,37,1129,1,6,2,2,42,35
40,015-006,Adj,2071,2104,1613,1646,1586,19,1553,0,5,0,9,40,20
41,015-007,Adj,1909,1935,1512,1538,1479,40,1425,1,5,1,7,21,38
41,015-008,Adj,869,877,702,710,682,12,666,2,2,0,0,14,14
41,015-009,Adj,3467,3513,2706,2752,2648,94,2514,11,21,0,8,56,48
41,015-010,Adj,1859,1875,1521,1537,1458,92,1333,5,16,0,12,47,32
41,015-011,Adj,1798,1831,1416,1449,1389,65,1297,3,2,0,22,33,27
41,015-012,Adj,370,387,285,302,285,18,264,3,0,0,0,12,5
40,015-013,Adj,923,936,720,733,718,1,713,1,2,0,1,11,4
40,015-014,Adj,1659,1690,1300,1330,1288,19,1261,7,1,0,0,32,10
40,015-015,Adj,886,911,652,677,653,20,628,1,0,0,4,16,8
40,015-016,Adj,889,915,680,706,702,6,696,0,0,0,0,2,2
40,015-017,Adj,1750,1791,1366,1407,1373,13,1350,2,6,0,2,25,9
40,015-018,Adj,3196,3287,2406,2496,2394,28,2342,2,9,1,12,56,46
44,015-019,Adj,90,96,66,72,66,0,63,0,2,0,1,1,5
40,015-020,Adj,3249,3296,2730,2776,2636,248,2093,2,274,0,19,69,71
40,015-021,Adj,1460,1481,1190,1211,1163,26,1125,0,8,2,2,30,18
40,015-022,Adj,1193,1225,893,924,889,52,825,1,2,3,6,21,14
