Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Adjusted_Total_Adult_Pop
001-001,Adj,1893,1901,1591,1305,186,3,86,0,11,84,226,1657
001-002,Adj,2482,2485,2065,1807,118,2,123,0,15,127,293,2176
001-003,Adj,2034,2038,1812,1635,67,4,101,0,5,79,147,1859
001-004,Adj,3158,3159,2856,2511,161,9,160,0,15,123,180,2918
001-005,Adj,3575,3580,3210,2979,92,5,114,0,20,143,227,3233
002-001,Adj,1630,1636,1219,820,260,3,128,0,8,63,354,1409
002-002,Adj,2439,2445,1832,1570,122,3,127,1,9,129,484,2148
002-003,Adj,3394,3395,2956,2523,173,8,232,2,18,162,277,3143
003-001,Adj,1883,1925,1621,234,1330,9,41,2,5,59,245,1373
003-002,Adj,1283,1312,1223,355,773,7,85,0,3,42,47,1085
003-003,Adj,3246,3253,2838,2062,258,12,483,0,23,165,250,3053
004-001,Adj,2618,2622,2270,1074,716,3,458,0,19,159,193,2521
004-002,Adj,4968,4981,4387,1734,1726,4,889,2,32,252,342,4694
004-003,Adj,867,886,830,41,750,2,28,0,9,32,24,654
005-001,Adj,1728,1764,1655,49,1597,0,3,0,6,66,43,1264
005-002,Adj,213,216,203,10,185,0,6,0,2,5,8,192
006-001,Adj,2448,2478,1458,222,1172,10,46,0,8,92,928,1793
006-002,Adj,1353,1380,1047,198,810,0,28,0,11,53,280,1011
006-003,Adj,724,732,617,72,458,7,59,0,21,41,74,607
006-004,Adj,1888,1893,1514,782,519,8,194,0,11,77,302,1607
006-005,Adj,3613,3633,2788,1672,936,23,141,1,15,145,700,3004
007-001,Adj,1764,1795,1738,105,1575,1,57,0,0,33,24,1268
007-002,Adj,816,818,748,168,346,4,230,0,0,38,32,712
007-003,Adj,2948,3023,2651,148,2448,12,35,0,8,98,274,2266
007-004,Adj,3114,3196,2583,128,2418,6,23,0,8,116,497,2374
008-001,Unadj,123,123,117,69,46,0,2,0,0,4,2,102
008-002,Adj,1840,1874,1789,152,1626,0,9,0,2,52,33,1419
008-003,Adj,2210,2246,2150,77,2048,3,14,0,8,47,49,1654
008-004,Adj,504,524,502,5,486,1,0,0,10,17,5,386
008-005,Adj,1743,1780,1672,38,1623,1,7,0,3,67,41,1439
008-006,Adj,2809,2878,2709,52,2625,4,16,0,12,92,77,2248
008-007,Adj,1806,1851,1705,53,1637,6,3,0,6,48,98,1371
008-008,Adj,1079,1084,990,540,411,3,28,0,8,53,41,869
008-009,Adj,93,96,NA,15,72,0,1,0,2,2,4,76
008-010,Adj,3594,3652,3436,69,3332,15,6,0,14,81,135,2863
008-011,Adj,654,666,589,23,561,1,2,2,0,31,46,529
009-001,Adj,903,928,881,61,801,3,11,0,5,37,10,744
009-002,Adj,1261,1278,1202,161,1030,1,8,0,2,46,30,1067
009-003,Adj,1582,1608,1476,360,1082,1,24,0,9,64,68,1333
009-004,Adj,2381,2397,2203,599,1525,6,63,2,8,110,84,2064
009-005,Adj,1872,1893,1787,386,1387,2,7,1,4,78,28,1583
009-006,Adj,2133,2159,2057,125,1912,2,17,0,1,49,53,1788
009-007,Adj,2048,2096,1936,176,1732,4,12,0,12,91,69,1633
