Precinct,Variable,Count
001-001,REGISTERED VOTERS - TOTAL,1387
001-002,REGISTERED VOTERS - TOTAL,1912
001-003,REGISTERED VOTERS - TOTAL,1602
001-004,REGISTERED VOTERS - TOTAL,2216
001-005,REGISTERED VOTERS - TOTAL,2832
002-001,REGISTERED VOTERS - TOTAL,1035
002-002,REGISTERED VOTERS - TOTAL,1571
002-003,REGISTERED VOTERS - TOTAL,2498
003-001,REGISTERED VOTERS - TOTAL,1444
003-002,REGISTERED VOTERS - TOTAL,698
003-003,REGISTERED VOTERS - TOTAL,1604
004-001,REGISTERED VOTERS - TOTAL,993
004-002,REGISTERED VOTERS - TOTAL,2298
004-003,REGISTERED VOTERS - TOTAL,524
005-001,REGISTERED VOTERS - TOTAL,1324
005-002,REGISTERED VOTERS - TOTAL,121
006-001,REGISTERED VOTERS - TOTAL,1207
006-002,REGISTERED VOTERS - TOTAL,697
006-003,REGISTERED VOTERS - TOTAL,438
006-004,REGISTERED VOTERS - TOTAL,1132
006-005,REGISTERED VOTERS - TOTAL,2491
007-001,REGISTERED VOTERS - TOTAL,1044
007-002,REGISTERED VOTERS - TOTAL,276
007-003,REGISTERED VOTERS - TOTAL,2032
007-004,REGISTERED VOTERS - TOTAL,2007
008-001,REGISTERED VOTERS - TOTAL,76
008-002,REGISTERED VOTERS - TOTAL,1404
008-003,REGISTERED VOTERS - TOTAL,1614
008-004,REGISTERED VOTERS - TOTAL,404
008-005,REGISTERED VOTERS - TOTAL,1522
008-006,REGISTERED VOTERS - TOTAL,2044
008-007,REGISTERED VOTERS - TOTAL,1499
008-008,REGISTERED VOTERS - TOTAL,882
008-009,REGISTERED VOTERS - TOTAL,71
008-010,REGISTERED VOTERS - TOTAL,2691
008-011,REGISTERED VOTERS - TOTAL,496
009-001,REGISTERED VOTERS - TOTAL,634
009-002,REGISTERED VOTERS - TOTAL,952
009-003,REGISTERED VOTERS - TOTAL,1278
009-004,REGISTERED VOTERS - TOTAL,2058
009-005,REGISTERED VOTERS - TOTAL,1618
009-006,REGISTERED VOTERS - TOTAL,1884
009-007,REGISTERED VOTERS - TOTAL,1698
009-008,REGISTERED VOTERS - TOTAL,1311
009-009,REGISTERED VOTERS - TOTAL,840
009-010,REGISTERED VOTERS - TOTAL,1148
009-011,REGISTERED VOTERS - TOTAL,301
