"","PRECINCT","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"1",1001,564,465,5,NA,58,460,270,78,97,71
"2",1002,640,536,3,NA,108,461,232,158,117,103
"3",1003,625,562,3,NA,96,516,193,116,118,151
"4",1004,804,754,6,NA,137,562,273,157,216,219
"5",1005,1007,1001,9,NA,179,1017,389,147,147,138
"6",2001,332,303,5,NA,61,278,110,69,51,71
"7",2002,527,468,7,NA,131,437,177,108,80,69
"8",2003,775,711,9,NA,127,536,227,182,194,229
"9",3001,182,138,1,NA,28,73,55,49,51,65
"10",3002,152,146,NA,NA,23,71,69,43,61,31
"11",3003,730,651,11,NA,127,438,199,209,188,231
"12",4001,591,477,15,NA,178,467,191,100,86,61
"13",4002,571,511,7,NA,228,372,164,130,128,67
"14",4003,158,67,1,NA,17,26,29,30,49,75
"15",5001,286,180,1,NA,19,63,53,71,134,127
"16",5002,78,37,NA,NA,1,13,8,16,38,39
"17",6001,10,7,NA,NA,1,5,2,4,1,4
"18",6002,469,290,3,NA,75,210,134,92,141,110
"19",6003,147,102,1,NA,21,37,26,25,51,90
"20",6004,387,298,8,NA,66,277,114,72,63,101
"21",6005,865,686,6,NA,107,681,365,161,121,122
"22",7001,292,160,NA,NA,33,90,82,62,80,105
"23",7002,99,56,NA,NA,21,48,28,20,21,17
"24",7003,482,300,NA,NA,66,157,128,138,124,169
"25",7004,463,275,NA,NA,45,128,108,107,170,180
"26",8001,27,25,NA,NA,5,5,8,12,11,11
"27",8002,436,244,1,NA,73,94,148,114,136,116
"28",8003,435,260,NA,NA,54,96,111,116,148,170
"29",8004,92,48,1,NA,10,15,18,18,34,46
"30",8005,368,228,NA,NA,33,63,86,115,143,156
"31",8006,612,364,1,NA,66,160,165,132,196,258
"32",8007,296,186,1,NA,32,76,85,81,109,100
"33",8008,361,295,NA,NA,40,102,122,116,128,148
"34",8009,23,15,NA,NA,1,8,7,6,9,7
"35",8010,819,452,1,NA,74,154,163,169,292,420
"36",8011,93,78,NA,NA,14,13,27,22,43,52
"37",9001,211,117,NA,NA,32,66,52,63,66,49
"38",9002,297,212,4,NA,50,99,81,56,119,108
"39",9003,431,308,2,NA,58,177,156,83,119,148
"40",9004,919,587,4,NA,65,263,238,183,226,535
"41",9005,712,427,2,NA,70,195,195,187,166,328
"42",9006,920,530,1,NA,104,189,217,200,300,441
"43",9007,363,250,NA,NA,44,90,90,105,122,162
"44",9008,405,274,1,NA,44,83,124,111,152,166
"45",9009,268,153,2,NA,24,71,59,64,101,104
"46",9010,376,215,NA,NA,39,140,112,81,121,98
"47",9011,76,45,NA,NA,7,21,32,15,29,17
"48",9012,276,190,1,NA,28,57,72,72,118,120
"49",9013,203,125,1,NA,24,43,49,43,71,99
"50",9014,236,168,NA,NA,15,53,63,62,99,112
"51",9015,438,257,1,NA,53,118,96,86,188,155
"52",10001,332,166,NA,NA,51,66,74,85,110,112
"53",10002,337,173,NA,NA,28,59,60,64,111,188
"54",10003,73,54,NA,NA,9,28,22,22,36,10
"55",10004,163,102,NA,NA,11,34,31,33,58,98
"56",11001,486,465,4,NA,98,362,189,106,80,120
"57",11002,127,145,3,NA,27,92,34,26,52,44
"58",11003,466,418,3,NA,79,182,149,112,160,205
"59",11004,15,14,NA,NA,4,3,9,5,3,5
"60",11005,656,482,11,NA,136,394,208,155,152,104
"61",11006,518,444,6,NA,103,263,119,65,141,277
