"","PRECINCT","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"1",1001,421,337,6,NA,18,291,251,70,67,67
"2",1002,480,388,2,NA,55,279,213,120,101,102
"3",1003,436,372,4,NA,21,307,184,81,86,133
"4",1004,548,523,5,NA,45,336,215,118,166,196
"5",1005,760,701,9,NA,41,701,365,119,111,133
"6",2001,224,214,3,NA,23,184,88,46,36,64
"7",2002,368,352,4,NA,42,286,178,77,73,68
"8",2003,531,481,7,NA,48,317,190,118,133,213
"9",3001,93,80,2,NA,6,46,28,21,30,44
"10",3002,67,69,1,NA,1,35,29,16,30,26
"11",3003,458,455,5,NA,34,282,130,119,148,205
"12",4001,281,258,7,NA,46,196,110,70,72,52
"13",4002,283,264,9,NA,65,183,105,66,84,53
"14",4003,84,34,1,NA,4,5,6,16,26,62
"15",5001,128,64,1,NA,2,11,22,25,50,83
"16",5002,22,22,NA,NA,NA,2,2,6,15,19
"17",6001,6,3,NA,NA,NA,2,2,3,NA,2
"18",6002,231,139,4,NA,15,108,64,36,76,75
"19",6003,85,52,1,NA,3,21,10,12,30,62
"20",6004,270,203,4,NA,18,170,99,51,55,84
"21",6005,641,495,5,NA,34,433,342,135,98,99
"22",7001,139,65,NA,NA,6,20,32,34,42,70
"23",7002,55,25,1,NA,4,18,22,9,9,19
"24",7003,269,154,2,NA,16,70,64,72,67,136
"25",7004,238,143,NA,NA,5,39,39,50,104,144
"26",8001,21,25,NA,NA,4,4,5,11,10,12
"27",8002,220,110,NA,NA,13,31,49,57,89,91
"28",8003,200,114,1,NA,12,11,34,56,80,122
"29",8004,40,19,1,NA,1,4,8,7,13,27
"30",8005,187,119,NA,NA,6,22,29,44,87,118
"31",8006,361,194,NA,NA,19,60,93,74,124,185
"32",8007,136,84,3,NA,7,18,22,35,69,72
"33",8008,274,242,1,NA,18,63,93,93,108,142
"34",8009,8,5,NA,NA,NA,3,2,2,2,4
"35",8010,475,235,1,NA,23,48,66,70,183,321
"36",8011,51,41,NA,NA,2,4,8,12,24,42
"37",9001,107,58,1,NA,4,33,20,26,43,40
"38",9002,180,125,1,NA,11,48,58,28,72,89
"39",9003,314,205,1,NA,17,111,118,56,93,125
"40",9004,702,416,3,NA,26,150,197,150,165,433
"41",9005,487,290,1,NA,19,80,143,120,130,286
