County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,11,NA,62,NA,6,NA,15,NA,2,NA,96,0,96
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,126,NA,338,NA,109,NA,202,NA,107,NA,882,0,882
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,0,NA,11,NA,1,NA,3,NA,0,NA,15,0,15
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,2,NA,3,NA,3,NA,2,NA,0,NA,10,0,10
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,1,NA,4,NA,0,NA,2,NA,1,NA,8,0,8
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,1,NA,0,NA,1,NA,0,NA,0,NA,2,0,2
03,Baltimore City,001-001,07,46,Comptroller,Barry Glassman,REP,NA,NA,19,NA,92,NA,19,NA,20,NA,8,NA,158,0,158
03,Baltimore City,001-001,07,46,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,122,NA,320,NA,103,NA,194,NA,102,NA,841,0,841
03,Baltimore City,001-001,07,46,Comptroller,Other Write-Ins,NA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-001,07,46,Attorney General,Michael Anthony Peroutka,REP,NA,NA,15,NA,74,NA,15,NA,15,NA,3,NA,122,0,122
03,Baltimore City,001-001,07,46,Attorney General,Anthony G. Brown,DEM,Y,NA,123,NA,336,NA,106,NA,203,NA,105,NA,873,0,873
03,Baltimore City,001-001,07,46,Attorney General,Other Write-Ins,NA,NA,Y,1,NA,1,NA,1,NA,0,NA,0,NA,3,0,3
03,Baltimore City,001-001,07,46,U.S. Senator,Chris Chaffee,REP,NA,NA,12,NA,69,NA,11,NA,15,NA,2,NA,109,0,109
03,Baltimore City,001-001,07,46,U.S. Senator,Chris Van Hollen,DEM,Y,NA,127,NA,343,NA,108,NA,205,NA,108,NA,891,0,891
