Precinct,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Registered_of_Adjusted_Adults,Turnout_of_Registered,Turnout_of_Adjusted_Adults,Registered_of_Unadjusted_Adults,Turnout_of_Unadjusted_Adults
001-001,1491,1031,171,Adj,1893,1901,1649,1657,1424,1174,158,3,83,0,6,59,174,1591,1305,186,3,86,0,11,84,226,89.98,69.15,62.22,90.42,62.52
001-002,1918,976,39,Adj,2482,2485,2174,2176,1873,1646,103,2,107,0,15,93,210,2065,1807,118,2,123,0,15,127,293,88.14,50.89,44.85,88.22,44.89
001-003,1647,864,30,Adj,2034,2038,1855,1859,1674,1525,51,4,89,0,5,64,121,1812,1635,67,4,101,0,5,79,147,88.6,52.46,46.48,88.79,46.58
001-004,2329,1145,37,Adj,3158,3159,2917,2918,2668,2345,151,9,151,0,12,97,153,2856,2511,161,9,160,0,15,123,180,79.81,49.16,39.24,79.84,39.25
001-005,2890,1546,34,Adj,3575,3580,3228,3233,2943,2734,83,5,104,0,17,112,178,3210,2979,92,5,114,0,20,143,227,89.39,53.49,47.82,89.53,47.89
002-001,1086,528,12,Adj,1630,1636,1403,1409,1090,737,220,3,124,0,6,46,273,1219,820,260,3,128,0,8,63,354,77.08,48.62,37.47,77.41,37.63
002-002,1674,831,22,Adj,2439,2445,2142,2148,1700,1450,112,1,127,1,9,108,340,1832,1570,122,3,127,1,9,129,484,77.93,49.64,38.69,78.15,38.8
002-003,2603,1138,53,Adj,3394,3395,3142,3143,2797,2387,154,8,228,2,18,121,225,2956,2523,173,8,232,2,18,162,277,82.82,43.72,36.21,82.85,36.22
003-001,960,201,4,Adj,1883,1925,1331,1373,1155,215,893,4,37,1,5,50,168,1621,234,1330,9,41,2,5,59,245,69.92,20.94,14.64,72.13,15.1
003-002,775,136,11,Adj,1283,1312,1056,1085,1013,328,604,1,77,0,3,30,42,1223,355,773,7,85,0,3,42,47,71.43,17.55,12.53,73.39,12.88
