County,County Name,Precinct,Congressional,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Legislative,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to24,Voted_25to34,Voted_35to44,Voted_45to54,Voted_55to64,Voted_65plus
03,Baltimore City,001-001,07,377,1003,324,224,265,1901,1657,174,46,1491,1031,171,001,421,337,6,0,18,291,251,70,67,67
03,Baltimore City,001-002,07,352,1152,394,193,266,2485,2176,210,46,1918,976,39,001,480,388,2,0,55,279,213,120,101,102
03,Baltimore City,001-003,07,256,961,461,89,320,2038,1859,121,46,1647,864,30,001,436,372,4,0,21,307,184,81,86,133
03,Baltimore City,001-004,07,372,1288,568,164,285,3159,2918,153,46,2329,1145,37,001,548,523,5,0,45,336,215,118,166,196
03,Baltimore City,001-005,07,480,1966,635,179,387,3580,3233,178,46,2890,1546,34,001,760,701,9,0,41,701,365,119,111,133
03,Baltimore City,002-001,07,140,592,228,175,188,1636,1409,273,46,1086,528,12,013,224,214,3,0,23,184,88,46,36,64
03,Baltimore City,002-002,07,206,1091,277,129,290,2445,2148,340,46,1674,831,22,001,368,352,4,0,42,286,178,77,73,68
03,Baltimore City,002-003,07,245,1378,519,185,363,3395,3143,225,46,2603,1138,53,001,531,481,7,0,48,317,190,118,133,213
03,Baltimore City,003-001,07,65,259,63,46,47,1925,1373,168,46,960,201,4,012,93,80,2,0,6,46,28,21,30,44
03,Baltimore City,003-002,07,58,160,58,14,25,1312,1085,42,46,775,136,11,012,67,69,1,0,1,35,29,16,30,26
03,Baltimore City,003-003,07,202,1203,505,176,311,3253,3053,218,46,2329,1014,37,001,458,455,5,0,34,282,130,119,148,205
03,Baltimore City,004-001,07,173,639,254,132,237,2622,2521,182,46,1960,609,27,011,281,258,7,0,46,196,110,70,72,52
03,Baltimore City,004-002,07,164,783,249,187,194,4981,4694,323,40,2290,706,69,011,283,264,9,0,65,183,105,66,84,53
03,Baltimore City,004-003,07,49,154,88,18,39,886,654,17,40,526,137,13,011,84,34,1,0,4,5,6,16,26,62
03,Baltimore City,005-001,07,39,263,110,21,32,1764,1264,34,46,1274,210,18,012,128,64,1,0,2,11,22,25,50,83
03,Baltimore City,005-002,07,4,34,42,25,3,216,192,3,45,175,49,1,012,22,22,NA,0,NA,2,2,6,15,19
03,Baltimore City,006-001,07,7,21,0,33,0,2478,1793,607,46,69,25,0,013,6,3,NA,0,NA,2,2,3,NA,2
03,Baltimore City,006-002,07,147,455,202,86,119,1380,1011,181,45,1850,437,29,013,231,139,4,0,15,108,64,36,76,75
03,Baltimore City,006-003,07,38,166,98,14,32,732,607,53,45,501,147,13,013,85,52,1,0,3,21,10,12,30,62
03,Baltimore City,006-004,07,170,644,227,84,170,1893,1607,218,46,1154,534,19,013,270,203,4,0,18,170,99,51,55,84
03,Baltimore City,006-005,07,519,1381,602,91,421,3633,3004,468,46,2552,1192,28,001,641,495,5,0,34,433,342,135,98,99
03,Baltimore City,007-001,07,45,275,153,15,57,1795,1268,23,45,1034,223,11,012,139,65,NA,0,6,20,32,34,42,70
03,Baltimore City,007-002,07,26,92,60,47,29,818,712,26,45,312,104,2,013,55,25,1,0,4,18,22,9,9,19
03,Baltimore City,007-003,07,152,608,269,22,65,3023,2266,177,45,2050,456,28,013,269,154,2,0,16,70,64,72,67,136
03,Baltimore City,007-004,07,197,408,273,36,57,3196,2374,298,45,1962,401,12,013,238,143,NA,0,5,39,39,50,104,144
03,Baltimore City,008-001,07,21,54,41,23,9,123,102,2,45,76,55,0,003,21,25,NA,0,4,4,5,11,10,12
03,Baltimore City,008-002,07,176,453,118,21,42,1874,1419,18,45,1413,340,11,013,220,110,NA,0,13,31,49,57,89,91
03,Baltimore City,008-003,07,94,424,190,21,42,2246,1654,23,45,1580,326,24,013,200,114,1,0,12,11,34,56,80,122
03,Baltimore City,008-004,07,26,75,45,12,12,524,386,1,45,355,74,3,014,40,19,1,0,1,4,8,7,13,27
03,Baltimore City,008-005,07,110,351,194,11,59,1780,1439,29,45,1441,310,7,012,187,119,NA,0,6,22,29,44,87,118
03,Baltimore City,008-006,07,198,797,250,61,63,2878,2248,55,45,2100,593,31,012,361,194,NA,0,19,60,93,74,124,185
