"","PRECINCT","COUNCILMANIC_DISTRICTS","LEGISLATIVE_DISTRICTS","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"1",10001,"012","45",167,85,NA,NA,13,14,26,41,59,99
"2",10002,"012","45",168,83,NA,NA,3,4,24,24,47,149
"3",10003,"012","46",28,21,NA,NA,NA,5,11,7,16,10
"4",10004,"012","45",72,45,1,NA,NA,8,10,11,28,61
"5",1001,"001","46",421,337,6,NA,18,291,251,70,67,67
"6",1002,"001","46",480,388,2,NA,55,279,213,120,101,102
"7",1003,"001","46",436,372,4,NA,21,307,184,81,86,133
"8",1004,"001","46",548,523,5,NA,45,336,215,118,166,196
"9",1005,"001","46",760,701,9,NA,41,701,365,119,111,133
"10",11001,"012","40",330,333,6,NA,41,231,144,74,65,114
"11",11002,"011","40",88,100,NA,NA,8,58,34,16,30,42
"12",11003,"011","40",352,285,6,NA,30,107,116,76,117,197
"13",11004,"011","40",9,5,1,NA,NA,3,5,4,1,2
"14",11005,"011","40",330,285,8,NA,33,204,118,91,96,81
"15",11006,"011","46",330,295,7,NA,42,154,86,51,83,216
"16",11007,"012","46",274,311,10,NA,40,241,101,68,77,68
"17",12001,"014","43A",819,697,11,NA,55,121,180,164,237,770
"18",12002,"014","43A",70,73,1,NA,8,14,21,25,32,44
"19",12003,"014","43A",190,166,2,NA,13,121,119,37,26,42
"20",12004,"014","43A",275,213,3,NA,42,80,75,63,76,155
"21",12005,"014","43A",273,232,4,NA,31,128,129,80,58,83
"22",12006,"014","43A",207,187,4,NA,24,154,67,47,44,62
"23",12007,"012","43A",326,241,4,NA,25,175,131,77,69,94
"24",12008,"012","43A",678,598,11,NA,52,474,272,164,134,191
"25",12009,"012","40",50,43,1,NA,3,38,30,5,9,9
"26",12010,"012","43A",249,227,4,NA,10,138,112,51,86,83
"27",12011,"012","40",81,92,1,NA,7,35,24,25,49,34
"28",12012,"012","45",333,273,9,NA,23,198,168,77,77,72
"29",13001,"014","41",313,252,2,NA,21,42,59,67,64,314
"30",13002,"014","40",509,450,5,NA,26,222,209,110,140,257
"31",13003,"007","40",191,162,3,NA,7,120,118,44,26,41
"32",13004,"007","40",774,653,3,NA,40,481,410,178,131,190
"33",13005,"007","40",275,231,3,NA,12,119,133,78,72,95
"34",13006,"007","40",90,72,NA,NA,1,18,14,23,51,55
"35",13007,"007","40",154,82,1,NA,NA,24,25,30,56,102
"36",13008,"007","40",321,226,2,NA,14,60,100,91,133,151
"37",13009,"007","40",196,180,1,NA,10,62,84,59,76,86
"38",13010,"007","40",286,274,3,NA,15,65,114,103,109,157
"39",13011,"014","40",754,675,8,NA,41,479,452,182,128,155
"40",13012,"014","40",427,343,2,NA,17,201,203,125,102,124
"41",14001,"011","40",219,189,4,NA,33,63,101,52,59,104
"42",14002,"011","40",178,192,1,NA,17,45,46,41,70,152
"43",14003,"011","40",85,58,NA,NA,3,19,22,22,28,49
"44",14004,"011","40",378,291,2,NA,24,89,123,86,135,214
"45",14005,"007","40",56,37,NA,NA,5,5,9,16,16,42
"46",15001,"006","41",271,158,1,NA,17,24,61,70,110,148
"47",15002,"006","41",167,102,NA,NA,9,29,32,47,62,90
"48",15003,"006","41",436,218,NA,NA,16,43,76,69,156,294
"49",15004,"006","40",228,114,NA,NA,11,28,36,48,84,135
"50",15005,"007","40",326,180,NA,NA,17,43,69,78,114,185
"51",15006,"007","40",351,201,1,NA,26,29,87,74,113,224
"52",15007,"007","41",246,147,NA,NA,19,39,45,54,113,123
"53",15008,"006","41",193,127,1,NA,10,24,34,48,74,131
"54",15009,"006","41",445,264,1,NA,17,56,98,92,159,288
"55",15010,"006","41",299,201,NA,NA,15,45,60,80,112,188
"56",15011,"007","41",198,130,NA,NA,9,34,41,53,77,114
"57",15012,"007","40",27,12,NA,NA,3,3,2,4,14,13
"58",15013,"007","40",100,55,NA,NA,5,16,15,20,45,54
"59",15014,"007","40",274,123,NA,NA,9,33,45,57,94,159
"60",15015,"007","40",87,50,2,NA,3,13,13,17,50,43
"61",15016,"007","40",100,58,NA,NA,7,6,23,19,46,57
"62",15017,"007","40",187,96,1,NA,9,22,26,49,77,101
"63",15018,"007","40",269,136,NA,NA,6,34,44,68,109,144
"64",15019,"007","40",11,7,NA,NA,NA,NA,3,2,2,11
"65",15020,"007","40",313,159,NA,NA,12,31,47,54,109,219
"66",15021,"007","40",204,105,NA,NA,9,19,20,47,62,152
"67",15022,"006","40",175,109,NA,NA,5,17,25,33,77,127
"68",15023,"006","40",226,125,1,NA,8,24,47,58,92,123
"69",15024,"006","40",271,137,NA,NA,7,29,46,51,100,175
"70",15025,"006","40",79,47,NA,NA,NA,7,11,17,35,56
"71",16001,"009","40",71,59,NA,NA,6,11,15,18,40,40
"72",16002,"009","40",128,115,NA,NA,3,15,19,33,63,110
"73",16003,"009","40",79,59,NA,NA,1,7,10,16,35,69
"74",16004,"009","40",50,30,NA,NA,2,7,9,14,20,28
"75",16005,"009","40",239,141,NA,NA,11,20,40,53,118,138
"76",16006,"009","40",236,129,1,NA,10,21,40,42,96,157
"77",16007,"009","40",227,130,NA,NA,11,31,38,36,102,139
"78",16008,"009","40",124,75,NA,NA,3,13,19,20,53,91
"79",16009,"009","40",156,101,1,NA,9,20,26,30,72,101
"80",16010,"009","40",116,61,NA,NA,3,12,27,17,42,76
"81",16011,"009","40",86,50,1,NA,3,7,14,18,45,50
"82",16012,"009","40",234,114,NA,NA,14,32,42,60,72,128
"83",16013,"008","41",245,112,NA,NA,11,33,42,42,94,135
