County,County Name,Precinct,Congressional,Legislative,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,001-001,07,46,377,1003,324,224,265
03,Baltimore City,001-002,07,46,352,1152,394,193,266
03,Baltimore City,001-003,07,46,256,961,461,89,320
03,Baltimore City,001-004,07,46,372,1288,568,164,285
03,Baltimore City,001-005,07,46,480,1966,635,179,387
03,Baltimore City,002-001,07,46,140,592,228,175,188
03,Baltimore City,002-002,07,46,206,1091,277,129,290
03,Baltimore City,002-003,07,46,245,1378,519,185,363
03,Baltimore City,003-001,07,46,65,259,63,46,47
03,Baltimore City,003-002,07,46,58,160,58,14,25
03,Baltimore City,003-003,07,46,202,1203,505,176,311
03,Baltimore City,004-001,07,46,173,639,254,132,237
03,Baltimore City,004-002,07,40,164,783,249,187,194
03,Baltimore City,004-003,07,40,49,154,88,18,39
03,Baltimore City,005-001,07,46,39,263,110,21,32
03,Baltimore City,005-002,07,45,4,34,42,25,3
03,Baltimore City,006-001,07,46,7,21,0,33,0
03,Baltimore City,006-002,07,45,147,455,202,86,119
03,Baltimore City,006-003,07,45,38,166,98,14,32
03,Baltimore City,006-004,07,46,170,644,227,84,170
03,Baltimore City,006-005,07,46,519,1381,602,91,421
03,Baltimore City,007-001,07,45,45,275,153,15,57
03,Baltimore City,007-002,07,45,26,92,60,47,29
03,Baltimore City,007-003,07,45,152,608,269,22,65
03,Baltimore City,007-004,07,45,197,408,273,36,57
03,Baltimore City,008-001,07,45,21,54,41,23,9
03,Baltimore City,008-002,07,45,176,453,118,21,42
03,Baltimore City,008-003,07,45,94,424,190,21,42
03,Baltimore City,008-004,07,45,26,75,45,12,12
03,Baltimore City,008-005,07,45,110,351,194,11,59
03,Baltimore City,008-006,07,45,198,797,250,61,63
03,Baltimore City,008-007,07,45,49,378,110,11,39
03,Baltimore City,008-008,07,45,192,727,219,35,97
03,Baltimore City,008-009,07,45,8,18,0,0,3
03,Baltimore City,008-010,07,45,304,791,564,47,106
03,Baltimore City,008-011,07,45,33,121,48,15,24
03,Baltimore City,009-001,07,43A,102,171,69,32,31
03,Baltimore City,009-002,07,43A,107,296,191,50,58
03,Baltimore City,009-003,07,43A,161,585,236,63,101
03,Baltimore City,009-004,07,43A,446,1030,754,48,233
03,Baltimore City,009-005,07,43A,474,587,539,100,187
03,Baltimore City,009-006,07,43A,574,1223,702,59,159
03,Baltimore City,009-007,07,45,140,343,207,26,92
03,Baltimore City,009-008,07,45,171,353,191,45,45
03,Baltimore City,009-009,07,43A,110,350,124,45,50
03,Baltimore City,009-010,07,43A,53,432,154,46,73
