County,County Name,Precinct,Congressional,Legislative,Office Name,Early Votes For,Early Votes Against,Election Night Votes For,Election Night Votes Against,Mail-In Ballot 1 Votes For,Mail-In Ballot 1 Votes Against,Provisional Votes For,Provisional Votes Against,Mail-In Ballot 2 Votes For,Mail-In Ballot 2 Votes Against,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,001-001,07,46,Attorney General,139,NA,411,NA,122,NA,218,NA,108,NA,139,411,122,218,108
03,Baltimore City,001-001,07,46,Board of Ed at Large,196,NA,548,NA,166,NA,126,NA,139,NA,196,548,166,126,139
03,Baltimore City,001-001,07,46,Clerk Circuit Court,111,NA,324,NA,87,NA,92,NA,78,NA,111,324,87,92,78
03,Baltimore City,001-001,07,46,Comptroller,141,NA,412,NA,122,NA,214,NA,110,NA,141,412,122,214,110
03,Baltimore City,001-001,07,46,Governor / Lt. Governor,141,NA,418,NA,120,NA,224,NA,110,NA,141,418,120,224,110
03,Baltimore City,001-001,07,46,House of Delegates,377,NA,1003,NA,324,NA,163,NA,265,NA,377,1003,324,163,265
03,Baltimore City,001-001,07,46,Judge Circuit Court,303,NA,850,NA,241,NA,202,NA,207,NA,303,850,241,202,207
03,Baltimore City,001-001,07,46,Judge Orphans' Court,292,NA,793,NA,221,NA,211,NA,202,NA,292,793,221,211,202
03,Baltimore City,001-001,07,46,Judge Spec Appeal at Lg,161,39,465,119,132,30,119,49,118,32,200,584,162,168,150
03,Baltimore City,001-001,07,46,Register of Wills,114,NA,322,NA,87,NA,95,NA,79,NA,114,322,87,95,79
03,Baltimore City,001-001,07,46,Sheriff,122,NA,334,NA,96,NA,90,NA,82,NA,122,334,96,90,82
03,Baltimore City,001-001,07,46,State Senator,139,NA,403,NA,118,NA,73,NA,98,NA,139,403,118,73,98
03,Baltimore City,001-001,07,46,State's Attorney,133,NA,364,NA,112,NA,100,NA,92,NA,133,364,112,100,92
03,Baltimore City,001-001,07,46,U.S. Congress,138,NA,404,NA,120,NA,211,NA,108,NA,138,404,120,211,108
03,Baltimore City,001-001,07,46,U.S. Senator,140,NA,413,NA,119,NA,220,NA,110,NA,140,413,119,220,110
03,Baltimore City,001-002,07,46,Attorney General,131,NA,484,NA,153,NA,81,NA,102,NA,131,484,153,81,102
03,Baltimore City,001-002,07,46,Board of Ed at Large,176,NA,575,NA,206,NA,83,NA,134,NA,176,575,206,83,134
03,Baltimore City,001-002,07,46,Clerk Circuit Court,97,NA,383,NA,115,NA,64,NA,79,NA,97,383,115,64,79
03,Baltimore City,001-002,07,46,Comptroller,132,NA,488,NA,154,NA,82,NA,102,NA,132,488,154,82,102
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,132,NA,491,NA,154,NA,81,NA,103,NA,132,491,154,81,103
03,Baltimore City,001-002,07,46,House of Delegates,352,NA,1152,NA,394,NA,193,NA,266,NA,352,1152,394,193,266
03,Baltimore City,001-002,07,46,Judge Circuit Court,248,NA,871,NA,321,NA,132,NA,180,NA,248,871,321,132,180
03,Baltimore City,001-002,07,46,Judge Orphans' Court,239,NA,912,NA,293,NA,150,NA,195,NA,239,912,293,150,195
03,Baltimore City,001-002,07,46,Judge Spec Appeal at Lg,141,20,551,139,160,37,79,18,100,18,161,690,197,97,118
03,Baltimore City,001-002,07,46,Register of Wills,94,NA,385,NA,114,NA,64,NA,78,NA,94,385,114,64,78
03,Baltimore City,001-002,07,46,Sheriff,112,NA,397,NA,126,NA,61,NA,83,NA,112,397,126,61,83
03,Baltimore City,001-002,07,46,State Senator,130,NA,476,NA,150,NA,78,NA,101,NA,130,476,150,78,101
03,Baltimore City,001-002,07,46,State's Attorney,121,NA,435,NA,143,NA,69,NA,91,NA,121,435,143,69,91
03,Baltimore City,001-002,07,46,U.S. Congress,130,NA,479,NA,151,NA,80,NA,101,NA,130,479,151,80,101
03,Baltimore City,001-002,07,46,U.S. Senator,132,NA,483,NA,153,NA,82,NA,103,NA,132,483,153,82,103
03,Baltimore City,001-003,07,46,Attorney General,105,NA,393,NA,178,NA,38,NA,129,NA,105,393,178,38,129
03,Baltimore City,001-003,07,46,Board of Ed at Large,129,NA,504,NA,205,NA,39,NA,163,NA,129,504,205,39,163
03,Baltimore City,001-003,07,46,Clerk Circuit Court,75,NA,315,NA,126,NA,35,NA,100,NA,75,315,126,35,100
03,Baltimore City,001-003,07,46,Comptroller,107,NA,394,NA,180,NA,38,NA,131,NA,107,394,180,38,131
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,107,NA,398,NA,176,NA,38,NA,133,NA,107,398,176,38,133
03,Baltimore City,001-003,07,46,House of Delegates,256,NA,961,NA,461,NA,89,NA,320,NA,256,961,461,89,320
03,Baltimore City,001-003,07,46,Judge Circuit Court,233,NA,820,NA,345,NA,64,NA,243,NA,233,820,345,64,243
03,Baltimore City,001-003,07,46,Judge Orphans' Court,210,NA,793,NA,343,NA,80,NA,234,NA,210,793,343,80,234
03,Baltimore City,001-003,07,46,Judge Spec Appeal at Lg,130,29,477,120,205,45,39,14,127,39,159,597,250,53,166
03,Baltimore City,001-003,07,46,Register of Wills,76,NA,312,NA,123,NA,35,NA,96,NA,76,312,123,35,96
03,Baltimore City,001-003,07,46,Sheriff,86,NA,318,NA,135,NA,34,NA,94,NA,86,318,135,34,94
03,Baltimore City,001-003,07,46,State Senator,105,NA,389,NA,178,NA,37,NA,123,NA,105,389,178,37,123
03,Baltimore City,001-003,07,46,State's Attorney,96,NA,345,NA,161,NA,35,NA,120,NA,96,345,161,35,120
03,Baltimore City,001-003,07,46,U.S. Congress,106,NA,391,NA,175,NA,39,NA,128,NA,106,391,175,39,128
03,Baltimore City,001-003,07,46,U.S. Senator,108,NA,393,NA,181,NA,39,NA,130,NA,108,393,181,39,130
03,Baltimore City,001-004,07,46,Attorney General,153,NA,564,NA,223,NA,66,NA,112,NA,153,564,223,66,112
03,Baltimore City,001-004,07,46,Board of Ed at Large,197,NA,670,NA,278,NA,73,NA,132,NA,197,670,278,73,132
03,Baltimore City,001-004,07,46,Clerk Circuit Court,111,NA,450,NA,160,NA,52,NA,86,NA,111,450,160,52,86
03,Baltimore City,001-004,07,46,Comptroller,155,NA,568,NA,223,NA,66,NA,111,NA,155,568,223,66,111
03,Baltimore City,001-004,07,46,Governor / Lt. Governor,154,NA,577,NA,220,NA,63,NA,112,NA,154,577,220,63,112
03,Baltimore City,001-004,07,46,House of Delegates,372,NA,1288,NA,568,NA,164,NA,285,NA,372,1288,568,164,285
03,Baltimore City,001-004,07,46,Judge Circuit Court,316,NA,1088,NA,476,NA,123,NA,232,NA,316,1088,476,123,232
03,Baltimore City,001-004,07,46,Judge Orphans' Court,300,NA,1095,NA,416,NA,128,NA,236,NA,300,1095,416,128,236
