Precinct,Councilmanic
001-001,000
001-001,001
001-002,001
001-003,001
001-004,001
001-005,001
002-001,013
002-002,001
002-003,001
003-001,012
003-002,012
003-003,001
004-001,011
004-002,011
004-003,011
005-001,012
005-002,012
006-001,013
006-002,013
006-003,013
006-004,013
006-005,001
007-001,012
007-002,013
007-003,013
007-004,013
008-001,003
008-002,013
008-003,013
008-004,014
008-005,012
008-006,012
008-007,013
008-008,003
008-009,003
008-010,013
008-011,013
009-001,004
009-002,004
009-003,014
009-004,014
009-005,014
009-006,014
009-007,014
009-008,014
009-009,014
009-010,014
009-011,014
009-012,014
009-013,012
009-014,012
009-015,012
010-001,012
010-002,012
010-003,012
010-004,012
011-001,012
011-002,011
011-003,011
011-004,011
011-005,011
011-006,011
011-007,012
012-001,014
012-002,014
012-003,014
012-004,014
012-005,014
012-006,014
012-007,012
012-008,012
012-009,012
012-010,012
012-011,012
012-012,012
013-001,014
013-002,014
013-003,007
013-004,007
013-005,007
013-006,007
013-007,007
013-008,007
013-009,007
013-010,007
013-011,014
013-012,014
014-001,011
014-002,011
014-003,011
014-004,011
014-005,007
015-001,006
015-002,006
015-003,006
015-004,006
015-005,007
015-006,007
015-007,007
015-008,006
015-009,006
015-010,006
015-011,007
015-012,007
015-013,007
015-014,007
015-015,007
015-016,007
015-017,007
015-018,007
015-019,007
015-020,007
015-021,007
015-022,006
015-023,006
015-024,006
015-025,006
016-001,009
016-002,009
016-003,009
016-004,009
016-005,009
016-006,009
016-007,009
016-008,009
016-009,009
016-010,009
016-011,009
016-012,009
016-013,008
016-014,008
017-001,011
017-002,011
018-001,009
018-002,009
019-001,009
019-002,009
019-003,009
020-001,009
020-002,009
020-003,009
020-004,009
020-005,009
020-006,008
020-007,008
020-008,008
020-009,010
020-010,009
020-011,009
021-001,011
021-002,010
021-003,010
021-004,010
022-001,011
022-002,011
023-001,011
023-002,011
023-003,011
024-001,011
024-002,011
024-003,011
024-004,011
024-005,011
025-001,008
025-002,008
025-003,010
025-004,010
025-005,010
025-006,010
025-007,010
025-008,010
025-009,010
025-010,010
025-011,010
025-012,010
025-013,010
025-014,010
025-015,010
025-016,010
025-017,010
026-001,001
026-002,001
026-003,001
026-004,001
026-005,001
026-006,001
026-007,001
026-008,001
026-009,001
026-010,001
026-011,002
026-012,013
026-013,013
026-014,002
026-015,002
026-016,002
026-017,013
026-018,013
026-019,013
026-020,013
026-021,013
026-022,002
026-023,002
026-024,002
026-025,002
026-026,002
026-027,002
026-028,002
026-029,002
026-030,002
026-031,002
026-032,013
026-033,013
027-001,003
027-002,003
027-003,003
027-004,003
027-005,003
027-006,002
027-007,002
027-008,002
027-009,003
027-010,002
027-011,003
027-012,003
027-013,003
027-014,003
027-015,003
027-016,003
027-017,003
027-018,003
027-019,004
027-020,004
027-021,004
027-022,003
027-023,003
027-024,003
027-025,003
027-026,003
027-027,004
027-028,004
027-029,004
027-030,004
027-031,004
027-032,004
027-033,004
027-034,004
027-035,004
027-036,004
027-037,004
027-038,004
027-039,004
027-040,004
027-041,004
027-042,005
027-043,006
027-044,006
027-045,006
027-046,014
027-047,007
027-048,006
027-049,005
027-050,005
027-051,005
027-052,006
027-053,006
027-054,006
027-055,006
027-056,006
027-057,005
027-058,006
027-059,005
027-060,005
027-061,005
027-062,005
027-063,005
027-064,005
027-065,005
027-066,005
027-067,005
027-069,014
028-001,005
028-002,005
028-003,006
028-004,005
028-005,005
028-006,008
028-007,008
028-008,008
028-009,008
028-010,008
028-011,008
028-012,008
028-013,008
028-014,008
028-015,008
