Precinct,Legislative,Councilmanic
001-001,46,000
001-001,46,001
001-002,46,001
001-003,46,001
001-004,46,001
001-005,46,001
002-001,46,013
002-002,46,001
002-003,46,001
003-001,46,012
003-002,46,012
003-003,46,001
004-001,46,011
004-002,40,011
004-003,40,011
005-001,46,012
005-002,45,012
006-001,46,013
006-002,46,013
006-003,45,013
006-004,46,013
006-005,46,001
007-001,45,012
007-002,45,013
007-003,45,013
007-004,45,013
008-001,45,003
008-002,45,013
008-003,45,013
008-004,45,014
008-005,45,012
008-006,45,012
008-007,45,013
008-008,43,003
008-009,45,003
008-010,45,013
008-011,45,013
009-001,43,004
009-002,43,004
009-003,43,014
009-004,43,014
009-005,43,014
009-006,43,014
009-007,43,014
009-008,43,014
009-009,43,014
009-010,43,014
009-011,43,014
009-012,43,014
009-013,45,012
009-014,43,012
009-015,45,012
010-001,45,012
010-002,45,012
010-003,46,012
010-004,45,012
011-001,45,012
011-002,45,011
011-003,40,011
011-004,44,011
011-005,40,011
011-006,40,011
011-007,45,012
012-001,43,014
012-002,43,014
012-003,43,014
012-004,43,014
012-005,43,014
012-006,43,014
012-007,43,012
012-008,43,012
012-009,43,012
012-010,43,012
012-011,43,012
012-012,45,012
012-013,40,14
013-001,41,014
013-002,40,014
013-003,40,007
013-004,40,007
013-005,40,007
013-006,40,007
013-007,40,007
013-008,40,007
013-009,40,007
013-010,40,007
013-011,43,014
013-012,40,014
013-013,40,14
014-001,40,011
014-002,40,011
014-003,44,011
014-004,44,011
014-005,40,007
015-001,41,006
015-002,41,006
015-003,41,006
015-004,40,006
015-005,40,007
015-006,40,007
015-007,41,007
015-008,41,006
015-009,41,006
015-010,41,006
015-011,41,007
015-012,41,007
015-013,40,007
015-014,40,007
015-015,40,007
015-016,40,007
015-017,40,007
015-018,40,007
015-019,44,007
015-020,40,007
015-021,40,007
015-022,40,006
015-023,40,006
015-024,40,006
015-025,40,006
016-001,44,009
016-002,40,009
016-003,44,009
016-004,44,009
016-005,44,009
016-006,40,009
016-007,44,009
016-008,40,009
016-009,40,009
016-010,40,009
016-011,40,009
016-012,40,009
016-013,41,008
016-014,41,008
017-001,44,011
017-002,40,011
018-001,40,009
018-002,40,009
019-001,44,009
019-002,40,009
019-003,44,009
020-001,44,009
020-002,44,009
020-003,44,009
020-004,44,009
020-005,41,009
020-006,41,008
020-007,41,008
020-008,44,008
020-009,44,010
020-010,40,009
020-011,40,009
020-012,40,10
021-001,40,011
021-002,40,010
021-003,40,010
021-004,46,010
021-005,46,11
022-001,46,011
022-002,46,011
023-001,46,011
023-002,46,011
023-003,46,011
024-001,46,011
024-002,46,011
024-003,46,011
024-004,46,011
024-005,46,011
025-001,44,008
025-002,44,008
025-003,40,010
025-004,40,010
025-005,46,010
025-006,46,010
025-007,46,010
025-008,46,010
025-009,46,010
025-010,46,010
025-011,46,010
025-012,46,010
025-013,46,010
025-014,46,010
025-015,46,010
025-016,46,010
025-017,40,010
025-018,40,10
026-001,46,001
026-002,46,001
026-003,46,001
026-004,46,001
026-005,46,001
026-006,46,001
026-007,46,001
026-008,46,001
026-009,46,001
026-010,46,001
026-011,46,002
026-012,46,013
026-013,45,013
026-014,45,002
026-015,45,002
026-016,45,002
026-017,45,013
026-018,45,013
026-019,45,013
026-020,45,013
026-021,45,013
026-022,45,002
026-023,45,002
026-024,45,002
026-025,45,002
026-026,45,002
026-027,45,002
026-028,45,002
026-029,45,002
026-030,45,002
026-031,45,002
026-032,45,013
026-033,45,013
027-001,45,003
027-002,45,003
027-003,45,003
027-004,45,003
027-005,45,003
027-006,45,002
027-007,45,002
027-008,45,002
027-009,45,003
027-010,45,002
027-011,45,003
027-012,43,003
027-013,43,003
027-014,45,003
027-015,43,003
027-016,43,003
027-017,43,003
027-018,43,003
027-019,43,004
027-020,43,004
027-021,43,004
027-022,43,003
027-023,43,003
027-024,43,003
027-025,43,003
027-026,43,003
027-027,43,004
027-028,43,004
027-029,43,004
027-030,43,004
027-031,43,004
027-032,43,004
027-033,43,004
027-034,43,004
027-035,43,004
027-036,43,004
027-037,43,004
027-038,43,004
027-039,43,004
027-040,43,004
027-041,43,004
027-042,41,005
027-043,41,006
027-044,41,006
027-045,41,006
027-046,41,014
027-047,41,007
027-048,41,006
027-049,41,005
027-050,41,005
027-051,41,005
027-052,41,006
027-053,40,006
027-054,40,006
027-055,41,006
027-056,41,006
027-057,41,005
027-058,41,006
027-059,41,005
027-060,41,005
027-061,41,005
027-062,41,005
027-063,41,005
027-064,41,005
027-065,41,005
027-066,41,005
027-067,41,005
028-001,41,005
028-002,41,005
028-003,41,006
028-004,41,005
028-005,41,005
028-006,41,008
028-007,41,008
028-008,41,008
028-009,41,008
028-010,41,008
028-011,41,008
028-012,41,008
028-013,44,008
028-014,44,008
028-015,41,008
027-069,41,014
