Precinct,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to29,Voted_30to49,Voted_50to64,Voted_65plus,Voted_UnknownAge,Voted_Total,Voted_Adults,Legislative,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Registered_Female,Registered_Male,Registered_UnknownSex,Registered_30to49,Registered_16to17,Registered_18to29,Registered_50to64,Registered_65plus,Registered_UnknownAge,Registered_Under16,Registered_Total,Registered_Adults
10-001,012,264,135,0,0,47,86,134,103,29,399,370,45,1239,978,24,737,589,1,410,8,222,371,313,3,0,1327,1316
10-002,012,255,122,0,0,29,60,94,171,23,377,354,45,1495,1119,12,968,687,1,415,5,194,418,622,2,0,1656,1649
10-003,012,42,35,0,1,7,20,32,14,3,77,73,46,1229,937,16,399,467,1,313,5,121,284,142,2,0,867,860
10-004,012,124,75,0,0,10,38,57,82,12,199,187,45,733,622,9,492,464,1,224,3,103,270,356,1,0,957,953
01-001,001,341,262,0,0,112,307,85,56,43,603,560,46,1901,1657,174,1100,1005,5,1127,3,409,285,286,0,0,2110,2107
01-002,001,396,302,1,0,143,281,130,84,61,699,638,46,2485,2176,210,1444,1337,5,1402,3,507,468,406,0,0,2786,2783
01-003,001,327,262,1,1,130,221,85,104,49,590,540,46,2038,1859,121,1352,1268,2,1259,2,565,350,446,0,0,2622,2620
01-004,001,449,378,2,1,142,279,170,177,60,829,768,46,3159,2918,153,1910,1839,3,1735,4,655,618,740,0,0,3752,3748
01-005,001,573,474,3,0,251,495,127,122,55,1050,995,46,3580,3233,178,2227,2093,7,2211,1,968,492,654,1,0,4327,4325
11-001,012,309,275,3,0,155,212,85,91,44,587,543,45,2215,2111,170,1334,1286,10,1479,2,503,334,310,2,0,2630,2626
11-002,011,85,88,0,0,28,50,51,38,6,173,167,45,762,725,59,452,487,3,367,0,168,179,228,0,0,942,942
11-003,011,330,302,0,1,75,174,168,180,34,632,597,40,2334,2138,124,1218,1041,5,936,7,357,449,514,1,0,2264,2256
11-004,011,12,6,0,0,3,10,1,3,1,18,17,44,126,91,7,41,54,0,43,1,19,18,14,0,0,95,94
11-005,011,411,284,6,0,174,232,161,87,47,701,654,40,2260,1904,74,1856,1590,15,1653,3,697,705,400,3,0,3461,3455
