"","PRECINCT","COUNCILMANIC_DISTRICTS.x","LEGISLATIVE_DISTRICTS.x","0","1","<NA>.x","COUNCILMANIC_DISTRICTS.y","LEGISLATIVE_DISTRICTS.y","16-17","18-29","30-49","50-64","65+","<NA>.y"
"1",1001,"001","46",341,262,NA,"001","46",NA,112,307,85,56,43
"2",1002,"001","46",396,302,1,"001","46",NA,143,281,130,84,61
"3",1003,"001","46",327,262,1,"001","46",1,130,221,85,104,49
"4",1004,"001","46",449,378,2,"001","46",1,142,279,170,177,60
"5",1005,"001","46",573,474,3,"001","46",NA,251,495,127,122,55
"6",2001,"013","46",221,186,2,"013","46",1,107,162,59,54,26
"7",2002,"001","46",304,255,2,"001","46",1,137,238,100,53,32
"8",2003,"001","46",408,362,NA,"001","46",1,147,255,154,171,42
"9",3001,"012","46",120,91,NA,"012","46",NA,24,62,52,58,15
"10",3002,"012","46",95,82,NA,"012","46",NA,20,60,58,27,12
"11",3003,"001","46",400,356,1,"001","46",NA,123,217,178,186,53
"12",4001,"011","46",273,221,3,"011","46",NA,162,183,80,43,29
"13",4002,"011","40",284,228,2,"011","40",1,154,176,105,42,36
"14",4003,"011","40",140,61,NA,"011","40",NA,24,36,55,78,8
"15",5001,"012","46",213,118,1,"012","46",NA,23,57,118,112,22
"16",5002,"012","45",68,31,NA,"012","45",NA,10,13,38,33,5
"17",6001,"013","46",4,6,NA,"013","46",NA,1,3,4,2,NA
"18",6002,"013","45",320,200,NA,"013","45",NA,97,159,135,101,28
"19",6003,"013","45",108,62,1,"013","45",NA,24,23,42,75,7
"20",6004,"013","46",259,177,1,"013","46",NA,94,157,73,95,18
"21",6005,"001","46",596,452,3,"001","46",NA,204,537,147,110,53
"22",7001,"012","45",200,110,NA,"012","45",NA,36,75,91,90,18
"23",7002,"013","45",59,29,NA,"013","45",NA,17,36,16,14,5
"24",7003,"013","45",353,208,NA,"013","45",NA,70,157,138,160,36
"25",7004,"013","45",355,193,NA,"013","45",3,44,121,175,166,39
"26",8001,"003","45",25,22,NA,"003","45",1,4,11,15,11,5
"27",8002,"013","45",325,163,NA,"013","45",1,66,136,154,103,28
"28",8003,"013","45",311,184,NA,"013","45",3,40,114,165,155,18
"29",8004,"014","45",71,35,NA,"014","45",NA,14,20,29,37,6
"30",8005,"012","45",267,161,NA,"012","45",NA,38,80,151,135,24
"31",8006,"012","45",479,279,1,"012","45",NA,78,191,207,247,36
"32",8007,"013","45",205,135,NA,"013","45",NA,40,74,114,87,25
"33",8008,"003","45",302,244,NA,"003","45",NA,55,188,143,131,29
"34",8009,"003","45",14,11,NA,"003","45",NA,3,7,8,7,NA
"35",8010,"013","45",631,336,NA,"013","45",2,86,154,296,388,41
"36",8011,"013","45",65,56,NA,"013","45",NA,9,17,41,49,5
"37",9001,"004","43A",150,83,NA,"004","43A",1,33,67,73,45,14
"38",9002,"004","43A",216,148,3,"004","43A",NA,52,104,100,91,20
"39",9003,"014","43A",334,227,NA,"014","43A",1,84,192,117,136,31
"40",9004,"014","43A",768,442,2,"014","43A",2,100,335,242,482,51
"41",9005,"014","43A",554,328,NA,"014","43A",2,82,247,215,290,46
"42",9006,"014","43A",720,430,NA,"014","43A",2,109,273,318,385,63
"43",9007,"014","45",294,178,NA,"014","45",NA,40,119,134,150,29
"44",9008,"014","45",279,169,NA,"014","45",1,32,96,150,147,22
"45",9009,"014","43A",207,100,1,"014","43A",NA,32,69,109,88,10
"46",9010,"014","43A",272,134,NA,"014","43A",NA,60,128,108,82,28
"47",9011,"014","43A",51,25,NA,"014","43A",NA,6,26,25,16,3
"48",9012,"014","43A",195,121,NA,"014","43A",2,20,66,112,98,18
"49",9013,"012","45",153,85,NA,"012","45",NA,19,51,75,82,11
