PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,COUNT
1001,000,37B,1
1001,001,46,2107
1002,001,46,2783
1003,001,46,2620
1004,001,46,3748
1005,001,46,4325
2001,013,46,1581
2002,001,46,2497
2003,001,46,3909
3001,012,46,1488
3002,012,46,1115
3003,001,46,3367
4001,011,46,2667
4002,011,40,4445
4003,011,40,709
5001,012,46,2077
5002,012,45,550
6001,013,46,96
6002,013,45,2447
6003,013,45,799
6004,013,46,1652
6005,001,46,3523
7001,012,45,1435
7002,013,45,584
7003,013,45,2811
7004,013,45,2629
8001,003,45,103
8002,013,45,1687
8003,013,45,2034
8004,014,45,526
8005,012,45,2163
8006,012,45,3235
8007,013,45,2204
8008,003,45,1226
8009,003,45,84
8010,013,45,3840
8011,013,45,637
9001,004,43A,832
9002,004,43A,1337
9003,014,43A,1687
9004,014,43A,2860
9005,014,43A,2171
9006,014,43A,2994
9007,014,45,1509
9008,014,45,2283
9009,014,43A,1084
9010,014,43A,1528
9011,014,43A,431
9012,014,43A,1332
9013,012,45,1324
9014,012,43A,1490
9015,012,45,2368
10001,012,45,1316
10002,012,45,1649
10003,012,46,860
10004,012,45,953
11001,012,40,2626
11002,011,40,942
11003,011,40,2256
11004,011,40,94
11005,011,40,3455
11006,011,46,3521
11007,012,46,2447
12001,014,43A,4200
12002,014,43A,361
12003,014,43A,916
12004,014,43A,2719
12005,014,43A,1893
12006,014,43A,1557
12007,012,43A,1932
12008,012,43A,4611
12009,012,40,335
12010,012,43A,2854
12011,012,40,1145
12012,012,45,2509
13001,014,41,1966
13002,014,40,2567
13003,007,40,907
13004,007,40,3523
13005,007,40,1370
13006,007,40,852
13007,007,40,1747
13008,007,40,2232
13009,007,40,1846
13010,007,40,2004
13011,014,40,3485
13012,014,40,1842
14001,011,40,1749
14002,011,40,1447
14003,011,40,1071
14004,011,40,3393
14005,007,40,684
15001,006,41,1968
15002,006,41,1195
15003,006,41,2657
15004,006,40,1328
15005,007,40,1608
15006,007,40,2159
15007,007,41,1776
15008,006,41,927
15009,006,41,3385
15010,006,41,1732
15011,007,41,1662
15012,007,40,382
15013,007,40,1030
15014,007,40,1874
15015,007,40,1010
15016,007,40,1061
15017,007,40,2155
15018,007,40,3454
15019,007,40,109
15020,007,40,3179
15021,007,40,1422
15022,006,40,1853
15023,006,40,2158
15024,006,40,2524
15025,006,40,1081
16001,009,40,957
16002,009,40,1751
16003,009,40,1212
16004,009,40,846
16005,009,40,2387
16006,009,40,2064
16007,009,40,1728
16008,009,40,1167
16009,009,40,1914
16010,009,40,1105
16011,009,40,838
16012,009,40,1993
16013,008,41,2010
16014,008,41,3585
17001,011,40,251
17002,011,40,4103
18001,009,40,1383
18002,009,40,2469
19001,009,40,1611
19002,009,40,2708
19003,009,40,303
20001,009,40,2012
20002,009,40,828
20003,009,40,2323
20004,009,40,263
20005,009,40,1227
20006,008,41,3860
20007,008,41,2558
20008,008,41,848
20009,010,40,821
20010,009,40,728
20011,009,40,1903
21001,011,46,1546
21002,010,40,2119
21003,010,40,2577
21004,010,46,460
22001,011,46,1981
22002,011,46,2285
23001,011,46,2179
23002,011,46,1616
23003,011,46,2896
24001,011,46,1116
24002,011,46,1303
24003,011,46,2741
24004,011,46,3657
24005,011,46,5143
25001,008,41,3338
25002,008,41,2326
25003,010,40,1149
25004,010,40,3085
25005,010,46,2315
25006,010,46,1160
25007,010,46,631
25008,010,46,2738
25009,010,46,1491
25010,010,46,1606
25011,010,46,829
25012,010,46,1679
25013,010,46,1004
25014,010,46,1362
25015,010,46,1399
25016,010,46,2001
25017,010,41,2293
26001,001,46,426
26002,001,46,2100
26003,001,46,1673
26004,001,46,1251
26005,001,46,611
26006,001,46,1196
26007,001,46,1758
26008,001,46,2115
26009,001,46,4151
26010,001,46,2737
26011,002,46,1354
26012,013,46,631
26013,013,45,1103
26014,002,45,1030
26015,002,45,1808
26016,002,45,1446
26017,013,45,724
26018,013,45,1271
26019,013,45,1724
26020,013,45,886
26021,013,45,1060
26022,002,45,908
26023,002,45,1348
26024,002,45,2532
26025,002,45,2124
26026,002,45,2144
26027,002,45,1666
26028,002,45,1401
26029,002,45,4849
26030,002,45,1163
26031,002,45,979
26032,013,45,2083
26033,013,45,1843
27001,003,45,2685
27002,003,45,805
27003,003,45,902
27004,003,45,705
27005,003,45,2972
27006,002,45,3719
27007,002,45,1569
27008,002,45,3044
27009,003,45,1888
27010,002,45,930
27011,003,45,3041
27012,003,45,801
27013,003,45,3478
27014,003,45,3217
27015,003,45,2467
27016,003,45,908
27017,003,43A,2149
27018,003,45,2200
27019,004,45,1465
27020,004,43A,3024
27021,004,43A,2303
27022,003,43A,3481
27023,003,43A,700
27024,003,43A,809
27025,003,43A,1613
27026,003,43A,1141
27027,004,43A,2086
27028,004,43A,1587
27029,004,43A,1125
27030,004,43A,1785
27031,004,43A,2646
27032,004,43A,3058
27033,004,43A,2908
27034,004,43A,2327
27035,004,43A,3662
27036,004,43A,1255
27037,004,43A,2602
27038,004,43A,591
27039,004,43A,630
27040,004,41,3066
27041,004,43A,1608
27042,005,41,2370
27043,006,41,1300
27044,006,41,1624
27045,006,41,2511
27046,014,41,1046
27047,007,41,1681
27048,006,41,1442
27049,005,41,4376
27050,005,41,1592
27051,005,41,590
27052,006,41,3381
27053,006,40,2120
27054,006,40,1217
27055,006,41,524
27056,006,41,1343
27057,005,41,2727
27058,006,41,874
27059,005,41,1099
27060,005,41,1977
27061,005,41,980
27062,005,41,2790
27063,005,41,2677
27064,005,41,2374
27065,005,41,4513
27066,005,41,3258
27067,005,41,2798
27069,014,41,174
28001,005,41,1662
28002,005,41,2924
28003,006,41,609
28004,005,41,912
28005,005,41,2083
28006,008,41,3187
28007,008,41,1516
28008,008,41,1899
28009,008,41,2637
28010,008,41,2485
28011,008,41,2531
28012,008,41,1803
28013,008,41,2090
28014,008,41,655
28015,008,41,2493
