PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,COUNT
1001,000,37B,1
1001,001,46,2366
1002,001,46,3142
1003,001,46,2924
1004,001,46,4164
1005,001,46,4865
2001,013,46,1815
2002,001,46,2861
2003,001,46,4508
3001,012,46,1607
3002,012,46,1230
3003,001,46,3984
4001,011,46,3257
4002,011,40,4959
4003,011,40,765
5001,012,46,2184
5002,012,45,565
6001,013,46,104
6002,013,45,2667
6003,013,45,859
6004,013,46,1892
6005,001,46,3937
7001,012,45,1539
7002,013,45,654
7003,013,45,3014
7004,013,45,2810
8001,003,45,113
8002,013,45,1805
8003,013,45,2180
8004,014,45,564
8005,012,45,2272
8006,012,45,3408
8007,013,45,2322
8008,003,45,1288
8009,003,45,89
8010,013,45,4026
8011,013,45,676
9001,004,43A,900
9002,004,43A,1432
9003,014,43A,1823
9004,014,43A,3016
9005,014,43A,2283
9006,014,43A,3164
9007,014,45,1571
9008,014,45,2406
9009,014,43A,1152
9010,014,43A,1641
9011,014,43A,450
9012,014,43A,1409
9013,012,45,1389
9014,012,43A,1564
9015,012,45,2493
10001,012,45,1404
10002,012,45,1718
10003,012,46,931
10004,012,45,993
11001,012,40,2926
11002,011,40,1032
11003,011,40,2455
11004,011,40,100
11005,011,40,3781
11006,011,46,3825
11007,012,46,2743
12001,014,43A,4503
12002,014,43A,392
12003,014,43A,994
12004,014,43A,2896
12005,014,43A,2064
12006,014,43A,1702
12007,012,43A,2069
12008,012,43A,5019
12009,012,40,366
12010,012,43A,3068
12011,012,40,1201
12012,012,45,2730
13001,014,41,2080
13002,014,40,2764
13003,007,40,1004
13004,007,40,3833
13005,007,40,1466
13006,007,40,891
13007,007,40,1836
13008,007,40,2378
13009,007,40,1944
13010,007,40,2139
13011,014,40,3844
13012,014,40,1977
14001,011,40,1871
14002,011,40,1545
14003,011,40,1151
14004,011,40,3608
14005,007,40,727
15001,006,41,2091
15002,006,41,1246
15003,006,41,2794
15004,006,40,1410
15005,007,40,1682
15006,007,40,2286
15007,007,41,1891
15008,006,41,986
15009,006,41,3604
15010,006,41,1820
15011,007,41,1765
15012,007,40,395
15013,007,40,1084
15014,007,40,1975
15015,007,40,1079
15016,007,40,1112
15017,007,40,2267
15018,007,40,3670
15019,007,40,113
15020,007,40,3316
15021,007,40,1512
15022,006,40,1954
15023,006,40,2301
15024,006,40,2672
15025,006,40,1168
16001,009,40,1004
16002,009,40,1839
16003,009,40,1273
16004,009,40,887
16005,009,40,2502
16006,009,40,2195
16007,009,40,1833
16008,009,40,1222
16009,009,40,2029
16010,009,40,1172
16011,009,40,873
16012,009,40,2109
16013,008,41,2142
16014,008,41,3786
17001,011,40,279
17002,011,40,4348
18001,009,40,1457
18002,009,40,2678
19001,009,40,1708
19002,009,40,2932
19003,009,40,322
20001,009,40,2117
20002,009,40,874
20003,009,40,2440
20004,009,40,279
20005,009,40,1295
20006,008,41,4079
20007,008,41,2747
20008,008,41,889
20009,010,40,879
20010,009,40,794
20011,009,40,2013
21001,011,46,1736
21002,010,40,2304
21003,010,40,2808
21004,010,46,514
