PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,AGE_GROUP,n
1001,000,37B,30-49,1
1001,001,46,16-17,3
1001,001,46,18-29,409
1001,001,46,30-49,1127
1001,001,46,50-64,285
1001,001,46,65+,286
1002,001,46,16-17,3
1002,001,46,18-29,507
1002,001,46,30-49,1402
1002,001,46,50-64,468
1002,001,46,65+,406
1003,001,46,16-17,2
1003,001,46,18-29,565
1003,001,46,30-49,1259
1003,001,46,50-64,350
1003,001,46,65+,446
1004,001,46,16-17,4
1004,001,46,18-29,655
1004,001,46,30-49,1735
1004,001,46,50-64,618
1004,001,46,65+,740
1005,001,46,16-17,1
1005,001,46,18-29,968
1005,001,46,30-49,2211
1005,001,46,50-64,492
1005,001,46,65+,654
1005,001,46,NA,1
2001,013,46,16-17,1
2001,013,46,18-29,325
2001,013,46,30-49,806
2001,013,46,50-64,222
2001,013,46,65+,228
2001,013,46,NA,4
2002,001,46,16-17,4
2002,001,46,18-29,526
2002,001,46,30-49,1280
2002,001,46,50-64,341
2002,001,46,65+,350
2003,001,46,16-17,5
2003,001,46,18-29,677
2003,001,46,30-49,1941
2003,001,46,50-64,682
2003,001,46,65+,609
2003,001,46,NA,1
3001,012,46,16-17,1
3001,012,46,18-29,186
3001,012,46,30-49,556
3001,012,46,50-64,427
3001,012,46,65+,319
3001,012,46,NA,5
3002,012,46,16-17,4
3002,012,46,18-29,144
3002,012,46,30-49,470
3002,012,46,50-64,362
3002,012,46,65+,139
3002,012,46,NA,3
3003,001,46,16-17,1
3003,001,46,18-29,543
3003,001,46,30-49,1484
3003,001,46,50-64,742
3003,001,46,65+,598
4001,011,46,16-17,5
4001,011,46,18-29,733
4001,011,46,30-49,1117
4001,011,46,50-64,387
4001,011,46,65+,430
4002,011,40,16-17,8
4002,011,40,18-29,954
4002,011,40,30-49,2403
4002,011,40,50-64,698
4002,011,40,65+,390
4002,011,40,NA,4
4003,011,40,16-17,1
4003,011,40,18-29,108
4003,011,40,30-49,240
4003,011,40,50-64,163
4003,011,40,65+,198
4003,011,40,NA,2
5001,012,46,16-17,6
5001,012,46,18-29,207
5001,012,46,30-49,538
5001,012,46,50-64,730
5001,012,46,65+,602
5001,012,46,NA,5
5002,012,45,18-29,28
5002,012,45,30-49,142
5002,012,45,50-64,157
5002,012,45,65+,223
5002,012,45,NA,2
6001,013,46,18-29,11
6001,013,46,30-49,45
6001,013,46,50-64,18
6001,013,46,65+,22
6001,013,46,NA,1
6002,013,45,16-17,11
6002,013,45,18-29,453
6002,013,45,30-49,924
6002,013,45,50-64,587
6002,013,45,65+,483
6002,013,45,NA,3
6003,013,45,18-29,104
6003,013,45,30-49,206
6003,013,45,50-64,186
6003,013,45,65+,303
6003,013,45,NA,2
6004,013,46,16-17,1
6004,013,46,18-29,337
6004,013,46,30-49,775
6004,013,46,50-64,272
6004,013,46,65+,268
6004,013,46,NA,2
6005,001,46,16-17,6
6005,001,46,18-29,672
6005,001,46,30-49,1829
6005,001,46,50-64,519
6005,001,46,65+,503
6005,001,46,NA,5
7001,012,45,< 16,1
7001,012,45,16-17,4
7001,012,45,18-29,226
7001,012,45,30-49,509
7001,012,45,50-64,353
7001,012,45,65+,347
7001,012,45,NA,1
7002,013,45,18-29,119
7002,013,45,30-49,211
7002,013,45,50-64,128
7002,013,45,65+,126
7002,013,45,NA,1
7003,013,45,< 16,1
7003,013,45,16-17,7
7003,013,45,18-29,505
7003,013,45,30-49,998
7003,013,45,50-64,749
7003,013,45,65+,559
7003,013,45,NA,6
7004,013,45,16-17,9
7004,013,45,18-29,420
7004,013,45,30-49,922
7004,013,45,50-64,690
7004,013,45,65+,597
7004,013,45,NA,5
8001,003,45,16-17,1
8001,003,45,18-29,11
8001,003,45,30-49,37
8001,003,45,50-64,27
8001,003,45,65+,28
8002,013,45,16-17,11
8002,013,45,18-29,326
8002,013,45,30-49,607
8002,013,45,50-64,403
8002,013,45,65+,351
8003,013,45,16-17,10
8003,013,45,18-29,325
8003,013,45,30-49,707
8003,013,45,50-64,522
8003,013,45,65+,480
8004,014,45,16-17,2
8004,014,45,18-29,76
8004,014,45,30-49,153
8004,014,45,50-64,134
8004,014,45,65+,163
8005,012,45,16-17,7
8005,012,45,18-29,278
8005,012,45,30-49,604
8005,012,45,50-64,594
8005,012,45,65+,687
8005,012,45,NA,3
8006,012,45,16-17,3
8006,012,45,18-29,455
8006,012,45,30-49,974
8006,012,45,50-64,830
8006,012,45,65+,976
8006,012,45,NA,3
8007,013,45,16-17,4
8007,013,45,18-29,282
8007,013,45,30-49,655
8007,013,45,50-64,672
8007,013,45,65+,595
8007,013,45,NA,2
8008,003,45,16-17,3
8008,003,45,18-29,165
8008,003,45,30-49,420
8008,003,45,50-64,300
8008,003,45,65+,341
8008,003,45,NA,1
8009,003,45,< 16,1
8009,003,45,16-17,1
8009,003,45,18-29,18
8009,003,45,30-49,26
8009,003,45,50-64,22
8009,003,45,65+,18
8010,013,45,16-17,15
8010,013,45,18-29,473
8010,013,45,30-49,948
8010,013,45,50-64,998
8010,013,45,65+,1421
8010,013,45,NA,9
8011,013,45,16-17,1
8011,013,45,18-29,66
8011,013,45,30-49,169
8011,013,45,50-64,176
8011,013,45,65+,226
8011,013,45,NA,2
9001,004,43A,16-17,4
9001,004,43A,18-29,166
9001,004,43A,30-49,292
9001,004,43A,50-64,212
9001,004,43A,65+,162
9001,004,43A,NA,1
9002,004,43A,16-17,2
9002,004,43A,18-29,188
9002,004,43A,30-49,431
9002,004,43A,50-64,355
9002,004,43A,65+,363
