PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,AGE_GROUP,n
1001,000,37B,25-34,1
1001,001,46,16-17,6
1001,001,46,18-24,79
1001,001,46,25-34,747
1001,001,46,35-44,761
1001,001,46,45-54,256
1001,001,46,55-64,190
1001,001,46,65+,333
1002,001,46,16-17,5
1002,001,46,18-24,111
1002,001,46,25-34,883
1002,001,46,35-44,843
1002,001,46,45-54,527
1002,001,46,55-64,302
1002,001,46,65+,476
1003,001,46,16-17,3
1003,001,46,18-24,72
1003,001,46,25-34,917
1003,001,46,35-44,794
1003,001,46,45-54,405
1003,001,46,55-64,234
1003,001,46,65+,502
1004,001,46,16-17,4
1004,001,46,18-24,133
1004,001,46,25-34,1079
1004,001,46,35-44,1049
1004,001,46,45-54,598
1004,001,46,55-64,447
1004,001,46,65+,858
1005,001,46,18-24,104
1005,001,46,25-34,1675
1005,001,46,35-44,1354
1005,001,46,45-54,654
1005,001,46,55-64,337
1005,001,46,65+,741
1005,001,46,NA,1
2001,013,46,16-17,3
2001,013,46,18-24,73
2001,013,46,25-34,589
2001,013,46,35-44,497
2001,013,46,45-54,244
2001,013,46,55-64,149
2001,013,46,65+,263
2001,013,46,NA,4
2002,001,46,16-17,5
2002,001,46,18-24,110
2002,001,46,25-34,907
2002,001,46,35-44,787
2002,001,46,45-54,435
2002,001,46,55-64,221
2002,001,46,65+,401
2003,001,46,16-17,2
2003,001,46,18-24,144
2003,001,46,25-34,1253
2003,001,46,35-44,1244
2003,001,46,45-54,652
2003,001,46,55-64,484
2003,001,46,65+,731
2003,001,46,NA,1
3001,012,46,16-17,2
3001,012,46,18-24,62
3001,012,46,25-34,251
3001,012,46,35-44,314
3001,012,46,45-54,281
3001,012,46,55-64,314
3001,012,46,65+,385
3001,012,46,NA,6
3002,012,46,16-17,2
3002,012,46,18-24,52
3002,012,46,25-34,208
3002,012,46,35-44,298
3002,012,46,45-54,207
3002,012,46,55-64,277
3002,012,46,65+,188
3002,012,46,NA,3
3003,001,46,16-17,1
3003,001,46,18-24,126
3003,001,46,25-34,1057
3003,001,46,35-44,915
3003,001,46,45-54,602
3003,001,46,55-64,538
3003,001,46,65+,746
4001,011,46,18-24,223
4001,011,46,25-34,1163
4001,011,46,35-44,720
4001,011,46,45-54,368
4001,011,46,55-64,286
4001,011,46,65+,497
4002,011,40,16-17,3
4002,011,40,18-24,319
4002,011,40,25-34,1415
4002,011,40,35-44,1499
4002,011,40,45-54,740
4002,011,40,55-64,496
4002,011,40,65+,490
4002,011,40,NA,5
4003,011,40,16-17,2
4003,011,40,18-24,67
4003,011,40,25-34,117
4003,011,40,35-44,137
4003,011,40,45-54,101
4003,011,40,55-64,110
4003,011,40,65+,233
4003,011,40,NA,2
5001,012,46,16-17,7
5001,012,46,18-24,80
5001,012,46,25-34,264
5001,012,46,35-44,306
5001,012,46,45-54,274
5001,012,46,55-64,521
5001,012,46,65+,739
5001,012,46,NA,6
5002,012,45,18-24,6
5002,012,45,25-34,46
5002,012,45,35-44,81
5002,012,45,45-54,65
5002,012,45,55-64,126
5002,012,45,65+,241
5002,012,45,NA,2
6001,013,46,18-24,5
6001,013,46,25-34,16
6001,013,46,35-44,20
6001,013,46,45-54,27
6001,013,46,55-64,12
6001,013,46,65+,24
6001,013,46,NA,1
6002,013,45,16-17,15
6002,013,45,18-24,199
6002,013,45,25-34,562
6002,013,45,35-44,557
6002,013,45,45-54,349
6002,013,45,55-64,425
6002,013,45,65+,575
6002,013,45,NA,4
6003,013,45,16-17,4
6003,013,45,18-24,35
6003,013,45,25-34,139
6003,013,45,35-44,115
6003,013,45,45-54,88
6003,013,45,55-64,133
6003,013,45,65+,349
6003,013,45,NA,3
6004,013,46,16-17,3
6004,013,46,18-24,72
6004,013,46,25-34,618
6004,013,46,35-44,455
6004,013,46,45-54,262
6004,013,46,55-64,185
6004,013,46,65+,300
6004,013,46,NA,2
6005,001,46,16-17,10
6005,001,46,18-24,129
6005,001,46,25-34,1163
6005,001,46,35-44,1164
6005,001,46,45-54,534
6005,001,46,55-64,356
6005,001,46,65+,591
6005,001,46,NA,6
7001,012,45,16-17,8
7001,012,45,18-24,91
7001,012,45,25-34,275
7001,012,45,35-44,302
7001,012,45,45-54,200
7001,012,45,55-64,250
7001,012,45,65+,421
7001,012,45,NA,3
7002,013,45,16-17,2
7002,013,45,18-24,40
7002,013,45,25-34,183
7002,013,45,35-44,113
7002,013,45,45-54,71
7002,013,45,55-64,93
7002,013,45,65+,154
7002,013,45,NA,1
7003,013,45,16-17,12
7003,013,45,18-24,200
7003,013,45,25-34,580
7003,013,45,35-44,568
7003,013,45,45-54,458
7003,013,45,55-64,527
7003,013,45,65+,681
7003,013,45,NA,6
7004,013,45,16-17,12
7004,013,45,18-24,173
7004,013,45,25-34,500
7004,013,45,35-44,521
7004,013,45,45-54,398
7004,013,45,55-64,493
7004,013,45,65+,725
7004,013,45,NA,5
8001,003,45,16-17,2
8001,003,45,18-24,15
8001,003,45,25-34,8
8001,003,45,35-44,15
8001,003,45,45-54,23
8001,003,45,55-64,20
8001,003,45,65+,32
8002,013,45,16-17,13
8002,013,45,18-24,189
8002,013,45,25-34,301
8002,013,45,35-44,324
8002,013,45,45-54,299
8002,013,45,55-64,287
8002,013,45,65+,405
8003,013,45,16-17,10
8003,013,45,18-24,170
8003,013,45,25-34,358
8003,013,45,35-44,374
8003,013,45,45-54,344
8003,013,45,55-64,380
8003,013,45,65+,554
8003,013,45,NA,2
8004,014,45,16-17,5
8004,014,45,18-24,32
8004,014,45,25-34,88
8004,014,45,35-44,79
8004,014,45,45-54,98
8004,014,45,55-64,81
8004,014,45,65+,186
8005,012,45,16-17,11
8005,012,45,18-24,121
8005,012,45,25-34,301
8005,012,45,35-44,334
8005,012,45,45-54,305
8005,012,45,55-64,423
8005,012,45,65+,788
8005,012,45,NA,4
8006,012,45,16-17,10
8006,012,45,18-24,204
8006,012,45,25-34,485
8006,012,45,35-44,549
8006,012,45,45-54,447
8006,012,45,55-64,612
8006,012,45,65+,1111
8006,012,45,NA,3
8007,013,45,16-17,6
8007,013,45,18-24,120
8007,013,45,25-34,328
8007,013,45,35-44,379
8007,013,45,45-54,298
8007,013,45,55-64,494
8007,013,45,65+,703
8007,013,45,NA,2
8008,003,45,16-17,6
8008,003,45,18-24,60
8008,003,45,25-34,203
8008,003,45,35-44,224
8008,003,45,45-54,188
8008,003,45,55-64,219
8008,003,45,65+,394
8008,003,45,NA,1
8009,003,45,18-24,7
8009,003,45,25-34,19
8009,003,45,35-44,18
8009,003,45,45-54,8
8009,003,45,55-64,15
8009,003,45,65+,22
8010,013,45,16-17,13
8010,013,45,18-24,223
8010,013,45,25-34,520
8010,013,45,35-44,510
8010,013,45,45-54,447
8010,013,45,55-64,736
8010,013,45,65+,1590
8010,013,45,NA,10
8011,013,45,16-17,3
8011,013,45,18-24,46
8011,013,45,25-34,79
8011,013,45,35-44,78
8011,013,45,45-54,92
8011,013,45,55-64,125
8011,013,45,65+,256
8011,013,45,NA,2
9001,004,43A,16-17,6
9001,004,43A,18-24,80
9001,004,43A,25-34,166
9001,004,43A,35-44,174
9001,004,43A,45-54,126
9001,004,43A,55-64,162
