PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,GENDER,n
1001,000,37B,F,1
1001,001,46,F,1100
1001,001,46,M,1005
1001,001,46,U,5
1002,001,46,F,1444
1002,001,46,M,1337
1002,001,46,U,5
1003,001,46,F,1352
1003,001,46,M,1268
1003,001,46,U,2
1004,001,46,F,1910
1004,001,46,M,1839
1004,001,46,U,3
1005,001,46,F,2227
1005,001,46,M,2093
1005,001,46,U,7
2001,013,46,F,805
2001,013,46,M,776
2001,013,46,U,5
2002,001,46,F,1276
2002,001,46,M,1220
2002,001,46,U,5
2003,001,46,F,1931
2003,001,46,M,1970
2003,001,46,U,14
3001,012,46,F,690
3001,012,46,M,798
3001,012,46,U,6
3002,012,46,F,404
3002,012,46,M,717
3002,012,46,U,1
3003,001,46,F,1642
3003,001,46,M,1721
3003,001,46,U,5
4001,011,46,F,1382
4001,011,46,M,1286
4001,011,46,U,4
4002,011,40,F,2225
4002,011,40,M,2224
4002,011,40,U,8
4003,011,40,F,420
4003,011,40,M,291
4003,011,40,U,1
5001,012,46,F,1015
5001,012,46,M,1070
5001,012,46,U,3
5002,012,45,F,301
5002,012,45,M,251
6001,013,46,F,46
6001,013,46,M,51
6002,013,45,F,1287
6002,013,45,M,1172
6002,013,45,U,2
6003,013,45,F,447
6003,013,45,M,353
6003,013,45,U,1
6004,013,46,F,891
6004,013,46,M,759
6004,013,46,U,5
6005,001,46,F,1829
6005,001,46,M,1697
6005,001,46,U,8
7001,012,45,F,838
7001,012,45,M,598
7001,012,45,U,5
7002,013,45,F,319
7002,013,45,M,263
7002,013,45,U,3
7003,013,45,F,1439
7003,013,45,M,1381
7003,013,45,U,5
7004,013,45,F,1386
7004,013,45,M,1253
7004,013,45,U,4
8001,003,45,F,57
8001,003,45,M,47
8002,013,45,F,943
8002,013,45,M,754
8002,013,45,U,1
8003,013,45,F,1116
8003,013,45,M,925
8003,013,45,U,3
8004,014,45,F,290
8004,014,45,M,237
8004,014,45,U,1
8005,012,45,F,1102
8005,012,45,M,1069
8005,012,45,U,2
8006,012,45,F,1685
8006,012,45,M,1553
8006,012,45,U,3
8007,013,45,F,1145
8007,013,45,M,1062
8007,013,45,U,3
8008,003,45,F,645
8008,003,45,M,583
8008,003,45,U,2
8009,003,45,F,44
8009,003,45,M,42
8010,013,45,F,2099
8010,013,45,M,1762
8010,013,45,U,3
8011,013,45,F,303
8011,013,45,M,337
9001,004,43A,F,473
9001,004,43A,M,363
9001,004,43A,U,1
9002,004,43A,F,723
9002,004,43A,M,616
9002,004,43A,U,4
9003,014,43A,F,922
9003,014,43A,M,771
9003,014,43A,U,2
9004,014,43A,F,1647
9004,014,43A,M,1226
9004,014,43A,U,4
9005,014,43A,F,1237
9005,014,43A,M,941
9005,014,43A,U,2
9006,014,43A,F,1649
9006,014,43A,M,1360
9007,014,45,F,787
9007,014,45,M,727
9008,014,45,F,1171
9008,014,45,M,1126
9008,014,45,U,3
9009,014,43A,F,610
9009,014,43A,M,475
9009,014,43A,U,2
9010,014,43A,F,846
9010,014,43A,M,689
9010,014,43A,U,4
9011,014,43A,F,237
9011,014,43A,M,195
9012,014,43A,F,697
9012,014,43A,M,643
9012,014,43A,U,1
9013,012,45,F,673
9013,012,45,M,651
9013,012,45,U,2
9014,012,43A,F,725
9014,012,43A,M,765
9014,012,43A,U,1
9015,012,45,F,1286
9015,012,45,M,1098
10001,012,45,F,737
10001,012,45,M,589
10001,012,45,U,1
10002,012,45,F,968
10002,012,45,M,687
10002,012,45,U,1
10003,012,46,F,399
10003,012,46,M,467
10003,012,46,U,1
10004,012,45,F,492
10004,012,45,M,464
10004,012,45,U,1
11001,012,40,F,1334
11001,012,40,M,1286
11001,012,40,U,10
11002,011,40,F,452
11002,011,40,M,487
11002,011,40,U,3
11003,011,40,F,1218
11003,011,40,M,1041
11003,011,40,U,5
11004,011,40,F,41
11004,011,40,M,54
11005,011,40,F,1856
11005,011,40,M,1590
11005,011,40,U,15
11006,011,46,F,1808
11006,011,46,M,1709
11006,011,46,U,11
11007,012,46,F,1169
11007,012,46,M,1279
11007,012,46,U,5
12001,014,43A,F,2253
12001,014,43A,M,1950
12001,014,43A,U,9
12002,014,43A,F,176
12002,014,43A,M,187
12002,014,43A,U,1
12003,014,43A,F,472
12003,014,43A,M,443
12003,014,43A,U,2
12004,014,43A,F,1403
12004,014,43A,M,1315
12004,014,43A,U,14
12005,014,43A,F,978
12005,014,43A,M,908
12005,014,43A,U,9
12006,014,43A,F,798
12006,014,43A,M,758
12006,014,43A,U,3
12007,012,43A,F,1002
12007,012,43A,M,935
12007,012,43A,U,5
12008,012,43A,F,2281
12008,012,43A,M,2331
12008,012,43A,U,12
12009,012,40,F,158
12009,012,40,M,177
12009,012,40,U,1
12010,012,43A,F,1406
12010,012,43A,M,1450
12010,012,43A,U,5
12011,012,40,F,514
12011,012,40,M,628
12011,012,40,U,4
12012,012,45,F,1232
12012,012,45,M,1275
12012,012,45,U,11
13001,014,41,F,1170
13001,014,41,M,800
13001,014,41,U,4
13002,014,40,F,1425
13002,014,40,M,1142
13002,014,40,U,4
13003,007,40,F,481
13003,007,40,M,424
13003,007,40,U,3
13004,007,40,F,1886
13004,007,40,M,1642
13004,007,40,U,4
13005,007,40,F,729
13005,007,40,M,640
13005,007,40,U,6
13006,007,40,F,445
13006,007,40,M,416
13007,007,40,F,923
13007,007,40,M,834
13007,007,40,U,3
13008,007,40,F,1160
13008,007,40,M,1084
13008,007,40,U,4
13009,007,40,F,914
13009,007,40,M,946
13009,007,40,U,2
13010,007,40,F,1006
13010,007,40,M,1001
13010,007,40,U,4
13011,014,40,F,1824
13011,014,40,M,1661
13011,014,40,U,6
13012,014,40,F,1013
13012,014,40,M,830
13012,014,40,U,3
14001,011,40,F,1009
14001,011,40,M,739
14001,011,40,U,7
14002,011,40,F,751
14002,011,40,M,704
14002,011,40,U,3
14003,011,40,F,589
14003,011,40,M,492
14003,011,40,U,1
14004,011,40,F,1792
14004,011,40,M,1621
14004,011,40,U,5
14005,007,40,F,347
14005,007,40,M,339
14005,007,40,U,2
15001,006,41,F,1052
15001,006,41,M,924
15001,006,41,U,4
15002,006,41,F,636
15002,006,41,M,561
15002,006,41,U,1
15003,006,41,F,1528
15003,006,41,M,1140
15003,006,41,U,3
15004,006,40,F,762
15004,006,40,M,572
15004,006,40,U,2
15005,007,40,F,916
15005,007,40,M,695
15005,007,40,U,2
15006,007,40,F,1202
15006,007,40,M,966
15006,007,40,U,4
15007,007,41,F,988
15007,007,41,M,796
15007,007,41,U,2
15008,006,41,F,505
15008,006,41,M,423
15009,006,41,F,1817
15009,006,41,M,1585
15009,006,41,U,3
15010,006,41,F,925
15010,006,41,M,809
15010,006,41,U,3
15011,007,41,F,863
15011,007,41,M,813
15011,007,41,U,1
15012,007,40,F,199
15012,007,40,M,186
15012,007,40,U,1
15013,007,40,F,514
15013,007,40,M,523
15013,007,40,U,2
15014,007,40,F,1091
15014,007,40,M,791
15014,007,40,U,2
15015,007,40,F,543
15015,007,40,M,472
15015,007,40,U,1
15016,007,40,F,566
15016,007,40,M,505
15017,007,40,F,1162
15017,007,40,M,1004
15017,007,40,U,2
15018,007,40,F,1852
15018,007,40,M,1619
15018,007,40,U,4
15019,007,40,F,52
15019,007,40,M,58
15020,007,40,F,1795
15020,007,40,M,1397
15020,007,40,U,4
15021,007,40,F,801
15021,007,40,M,623
15021,007,40,U,4
15022,006,40,F,996
15022,006,40,M,863
15023,006,40,F,1170
15023,006,40,M,997
15023,006,40,U,3
