PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,GENDER,n
1001,000,37B,F,1
1001,001,46,F,1242
1001,001,46,M,1109
1001,001,46,U,21
1002,001,46,F,1656
1002,001,46,M,1473
1002,001,46,U,18
1003,001,46,F,1513
1003,001,46,M,1396
1003,001,46,U,18
1004,001,46,F,2125
1004,001,46,M,2032
1004,001,46,U,11
1005,001,46,F,2507
1005,001,46,M,2337
1005,001,46,U,22
2001,013,46,F,934
2001,013,46,M,867
2001,013,46,U,21
2002,001,46,F,1460
2002,001,46,M,1386
2002,001,46,U,20
2003,001,46,F,2243
2003,001,46,M,2228
2003,001,46,U,40
3001,012,46,F,738
3001,012,46,M,857
3001,012,46,U,20
3002,012,46,F,437
3002,012,46,M,788
3002,012,46,U,10
3003,001,46,F,1951
3003,001,46,M,1988
3003,001,46,U,46
4001,011,46,F,1661
4001,011,46,M,1547
4001,011,46,U,49
4002,011,40,F,2479
4002,011,40,M,2458
4002,011,40,U,30
4003,011,40,F,451
4003,011,40,M,314
4003,011,40,U,4
5001,012,46,F,1063
5001,012,46,M,1127
5001,012,46,U,7
5002,012,45,F,306
5002,012,45,M,261
6001,013,46,F,48
6001,013,46,M,56
6001,013,46,U,1
6002,013,45,F,1389
6002,013,45,M,1281
6002,013,45,U,16
6003,013,45,F,478
6003,013,45,M,384
6003,013,45,U,4
6004,013,46,F,1021
6004,013,46,M,857
6004,013,46,U,19
6005,001,46,F,2053
6005,001,46,M,1872
6005,001,46,U,28
7001,012,45,F,883
7001,012,45,M,658
7001,012,45,U,9
7002,013,45,F,361
7002,013,45,M,287
7002,013,45,U,9
7003,013,45,F,1532
7003,013,45,M,1487
7003,013,45,U,13
7004,013,45,F,1458
7004,013,45,M,1356
7004,013,45,U,13
8001,003,45,F,62
8001,003,45,M,53
8002,013,45,F,991
8002,013,45,M,819
8002,013,45,U,8
8003,013,45,F,1182
8003,013,45,M,998
8003,013,45,U,12
8004,014,45,F,312
8004,014,45,M,254
8004,014,45,U,3
8005,012,45,F,1153
8005,012,45,M,1128
8005,012,45,U,6
8006,012,45,F,1766
8006,012,45,M,1640
8006,012,45,U,15
8007,013,45,F,1189
8007,013,45,M,1130
8007,013,45,U,11
8008,003,45,F,685
8008,003,45,M,606
8008,003,45,U,4
8009,003,45,F,44
8009,003,45,M,45
8010,013,45,F,2182
8010,013,45,M,1855
8010,013,45,U,12
8011,013,45,F,322
8011,013,45,M,356
8011,013,45,U,3
9001,004,43A,F,505
9001,004,43A,M,397
9001,004,43A,U,5
9002,004,43A,F,766
9002,004,43A,M,664
9002,004,43A,U,9
9003,014,43A,F,991
9003,014,43A,M,835
9003,014,43A,U,8
9004,014,43A,F,1728
9004,014,43A,M,1298
9004,014,43A,U,9
9005,014,43A,F,1296
9005,014,43A,M,994
9005,014,43A,U,9
9006,014,43A,F,1727
9006,014,43A,M,1447
9006,014,43A,U,12
9007,014,45,F,822
9007,014,45,M,754
9007,014,45,U,2
9008,014,45,F,1234
9008,014,45,M,1178
9008,014,45,U,7
9009,014,43A,F,650
9009,014,43A,M,500
9009,014,43A,U,6
9010,014,43A,F,896
9010,014,43A,M,745
9010,014,43A,U,11
9011,014,43A,F,247
9011,014,43A,M,204
9012,014,43A,F,724
9012,014,43A,M,687
9012,014,43A,U,3
9013,012,45,F,707
9013,012,45,M,687
9013,012,45,U,3
9014,012,43A,F,758
9014,012,43A,M,804
9014,012,43A,U,5
9015,012,45,F,1345
9015,012,45,M,1161
9015,012,45,U,7
10001,012,45,F,773
10001,012,45,M,638
10001,012,45,U,5
10002,012,45,F,999
10002,012,45,M,725
10002,012,45,U,4
10003,012,46,F,411
10003,012,46,M,518
10003,012,46,U,5
10004,012,45,F,511
10004,012,45,M,482
10004,012,45,U,2
11001,012,40,F,1490
11001,012,40,M,1413
11001,012,40,U,26
11002,011,40,F,495
11002,011,40,M,529
11002,011,40,U,8
11003,011,40,F,1318
11003,011,40,M,1125
11003,011,40,U,21
11004,011,40,F,41
11004,011,40,M,58
11004,011,40,U,1
11005,011,40,F,2021
11005,011,40,M,1730
11005,011,40,U,35
11006,011,46,F,1960
11006,011,46,M,1827
11006,011,46,U,45
11007,012,46,F,1328
11007,012,46,M,1390
11007,012,46,U,28
12001,014,43A,F,2390
12001,014,43A,M,2095
12001,014,43A,U,33
12002,014,43A,F,191
12002,014,43A,M,201
12002,014,43A,U,4
12003,014,43A,F,514
12003,014,43A,M,472
12003,014,43A,U,9
12004,014,43A,F,1501
12004,014,43A,M,1375
12004,014,43A,U,33
12005,014,43A,F,1055
12005,014,43A,M,985
12005,014,43A,U,27
12006,014,43A,F,864
12006,014,43A,M,827
12006,014,43A,U,13
12007,012,43A,F,1067
12007,012,43A,M,996
12007,012,43A,U,13
12008,012,43A,F,2472
12008,012,43A,M,2519
12008,012,43A,U,42
12009,012,40,F,177
12009,012,40,M,189
12009,012,40,U,2
12010,012,43A,F,1488
12010,012,43A,M,1571
12010,012,43A,U,20
12011,012,40,F,536
12011,012,40,M,657
12011,012,40,U,10
12012,012,45,F,1332
12012,012,45,M,1379
12012,012,45,U,31
13001,014,41,F,1229
13001,014,41,M,846
13001,014,41,U,13
13002,014,40,F,1517
13002,014,40,M,1236
13002,014,40,U,14
13003,007,40,F,525
13003,007,40,M,473
13003,007,40,U,7
13004,007,40,F,2046
13004,007,40,M,1785
13004,007,40,U,14
13005,007,40,F,769
13005,007,40,M,688
13005,007,40,U,12
13006,007,40,F,467
13006,007,40,M,431
13006,007,40,U,1
13007,007,40,F,953
13007,007,40,M,888
13007,007,40,U,7
13008,007,40,F,1219
13008,007,40,M,1153
13008,007,40,U,20
13009,007,40,F,959
13009,007,40,M,996
13009,007,40,U,8
13010,007,40,F,1077
13010,007,40,M,1060
13010,007,40,U,10
13011,014,40,F,2012
13011,014,40,M,1814
13011,014,40,U,23
13012,014,40,F,1083
13012,014,40,M,886
13012,014,40,U,12
14001,011,40,F,1080
14001,011,40,M,783
14001,011,40,U,13
14002,011,40,F,798
14002,011,40,M,742
14002,011,40,U,8
14003,011,40,F,627
14003,011,40,M,529
14003,011,40,U,4
14004,011,40,F,1900
14004,011,40,M,1718
14004,011,40,U,13
14005,007,40,F,362
14005,007,40,M,365
14005,007,40,U,3
15001,006,41,F,1104
15001,006,41,M,997
15001,006,41,U,9
15002,006,41,F,663
15002,006,41,M,587
15002,006,41,U,2
15003,006,41,F,1584
15003,006,41,M,1217
15003,006,41,U,9
15004,006,40,F,797
15004,006,40,M,616
15004,006,40,U,4
15005,007,40,F,946
15005,007,40,M,734
15005,007,40,U,8
15006,007,40,F,1263
15006,007,40,M,1032
15006,007,40,U,9
15007,007,41,F,1042
15007,007,41,M,857
15007,007,41,U,3
15008,006,41,F,524
15008,006,41,M,460
15008,006,41,U,6
15009,006,41,F,1915
15009,006,41,M,1703
15009,006,41,U,11
15010,006,41,F,977
15010,006,41,M,849
15010,006,41,U,5
15011,007,41,F,905
15011,007,41,M,866
15011,007,41,U,6
15012,007,40,F,208
15012,007,40,M,191
15012,007,40,U,1
15013,007,40,F,538
15013,007,40,M,554
15013,007,40,U,4
15014,007,40,F,1139
15014,007,40,M,841
15014,007,40,U,7
15015,007,40,F,574
15015,007,40,M,511
15015,007,40,U,4
15016,007,40,F,586
15016,007,40,M,528
15016,007,40,U,3
15017,007,40,F,1205
15017,007,40,M,1070
15017,007,40,U,9
15018,007,40,F,1937
15018,007,40,M,1740
15018,007,40,U,15
15019,007,40,F,56
15019,007,40,M,59
15020,007,40,F,1851
15020,007,40,M,1471
15020,007,40,U,9
15021,007,40,F,841
15021,007,40,M,673
15021,007,40,U,6
15022,006,40,F,1042
15022,006,40,M,917
15022,006,40,U,3
15023,006,40,F,1229
15023,006,40,M,1075
15023,006,40,U,9
15024,006,40,F,1448
15024,006,40,M,1225
15024,006,40,U,12
15025,006,40,F,510
15025,006,40,M,658
15025,006,40,U,6
16001,009,40,F,507
16001,009,40,M,497
16001,009,40,U,4
16002,009,40,F,897
16002,009,40,M,945
16002,009,40,U,6
16003,009,40,F,643
16003,009,40,M,626
16003,009,40,U,8
16004,009,40,F,435
16004,009,40,M,455
16004,009,40,U,2
16005,009,40,F,1354
16005,009,40,M,1155
16005,009,40,U,5
16006,009,40,F,1244
16006,009,40,M,958
16006,009,40,U,5
16007,009,40,F,999
16007,009,40,M,844
16007,009,40,U,5
16008,009,40,F,651
16008,009,40,M,570
16008,009,40,U,5
16009,009,40,F,1115
16009,009,40,M,916
16009,009,40,U,7
16010,009,40,F,648
16010,009,40,M,525
16010,009,40,U,3
16011,009,40,F,464
16011,009,40,M,410
16011,009,40,U,4
16012,009,40,F,1142
16012,009,40,M,980
16012,009,40,U,3
16013,008,41,F,1189
16013,008,41,M,958
16013,008,41,U,6
16014,008,41,F,2127
16014,008,41,M,1666
16014,008,41,U,15
17001,011,40,F,148
17001,011,40,M,132
17001,011,40,U,1
17002,011,40,F,2328
17002,011,40,M,2020
17002,011,40,U,19
18001,009,40,F,823
18001,009,40,M,638
18001,009,40,U,6
18002,009,40,F,1308
