Precinct,Registered,Total Ballots,Blank Ballots
001-001,1491,1031,171
001-002,1918,976,39
001-003,1647,864,30
001-004,2329,1145,37
001-005,2890,1546,34
002-001,1086,528,12
002-002,1674,831,22
002-003,2603,1138,53
003-001,960,201,4
003-002,775,136,11
003-003,2329,1014,37
004-001,1960,609,27
004-002,2290,706,69
004-003,526,137,13
005-001,1274,210,18
005-002,175,49,1
006-001,69,25,0
006-002,1850,437,29
006-003,501,147,13
006-004,1154,534,19
006-005,2552,1192,28
007-001,1034,223,11
007-002,312,104,2
007-003,2050,456,28
007-004,1962,401,12
008-001,76,55,0
008-002,1413,340,11
008-003,1580,326,24
008-004,355,74,3
008-005,1441,310,7
008-006,2100,593,31
008-007,1366,238,26
008-008,927,525,20
008-009,69,11,0
008-010,2599,744,59
008-011,444,101,7
009-001,655,195,12
009-002,929,327,9
009-003,1314,556,13
009-004,2120,1126,39
009-005,1638,798,23
009-006,2369,1077,32
009-007,1161,346,10
009-008,1581,337,25
009-009,841,279,9
009-010,1163,398,11
009-011,294,51,4
009-012,974,220,13
009-013,844,178,13
009-014,935,223,10
009-015,1535,349,19
010-001,1008,274,18
010-002,1058,286,35
010-003,529,55,1
010-004,599,149,8
011-001,1471,773,18
011-002,473,203,14
011-003,1409,700,35
011-004,71,46,10
011-005,2026,711,23
011-006,1754,740,49
011-007,1354,664,22
011-008,0,0,0
012-001,2579,1599,49
012-002,278,153,3
012-003,638,376,9
012-004,1367,547,18
012-005,1125,556,10
012-006,833,476,12
012-007,1415,579,13
012-008,2922,1414,42
012-009,210,101,2
012-010,1808,508,26
012-011,627,200,8
012-012,1753,658,21
013-001,894,578,30
013-002,1651,994,39
013-003,686,386,10
013-004,2617,1503,44
013-005,912,551,22
013-006,589,169,3
013-007,1241,273,15
013-008,1614,599,27
013-009,1122,414,8
013-010,1413,616,21
013-011,2461,1536,31
013-012,1236,830,33
014-001,878,451,27
014-002,852,393,33
014-003,770,161,11
014-004,2212,702,23
014-005,412,120,2
015-001,1440,463,18
015-002,836,316,6
015-003,1926,666,36
015-004,1037,356,14
015-005,1178,546,39
015-006,1678,576,19
015-007,1366,427,6
015-008,691,333,11
015-009,2529,789,30
015-010,1312,513,10
