Precinct,Variable,Count
001-001,REGISTERED VOTERS - TOTAL,1491
001-002,REGISTERED VOTERS - TOTAL,1918
001-003,REGISTERED VOTERS - TOTAL,1647
001-004,REGISTERED VOTERS - TOTAL,2329
001-005,REGISTERED VOTERS - TOTAL,2890
002-001,REGISTERED VOTERS - TOTAL,1086
002-002,REGISTERED VOTERS - TOTAL,1674
002-003,REGISTERED VOTERS - TOTAL,2603
003-001,REGISTERED VOTERS - TOTAL,960
003-002,REGISTERED VOTERS - TOTAL,775
003-003,REGISTERED VOTERS - TOTAL,2329
004-001,REGISTERED VOTERS - TOTAL,1960
004-002,REGISTERED VOTERS - TOTAL,2290
004-003,REGISTERED VOTERS - TOTAL,526
005-001,REGISTERED VOTERS - TOTAL,1274
005-002,REGISTERED VOTERS - TOTAL,175
006-001,REGISTERED VOTERS - TOTAL,69
006-002,REGISTERED VOTERS - TOTAL,1850
006-003,REGISTERED VOTERS - TOTAL,501
006-004,REGISTERED VOTERS - TOTAL,1154
006-005,REGISTERED VOTERS - TOTAL,2552
007-001,REGISTERED VOTERS - TOTAL,1034
007-002,REGISTERED VOTERS - TOTAL,312
007-003,REGISTERED VOTERS - TOTAL,2050
007-004,REGISTERED VOTERS - TOTAL,1962
008-001,REGISTERED VOTERS - TOTAL,76
008-002,REGISTERED VOTERS - TOTAL,1413
008-003,REGISTERED VOTERS - TOTAL,1580
008-004,REGISTERED VOTERS - TOTAL,355
008-005,REGISTERED VOTERS - TOTAL,1441
008-006,REGISTERED VOTERS - TOTAL,2100
008-007,REGISTERED VOTERS - TOTAL,1366
008-008,REGISTERED VOTERS - TOTAL,927
008-009,REGISTERED VOTERS - TOTAL,69
008-010,REGISTERED VOTERS - TOTAL,2599
008-011,REGISTERED VOTERS - TOTAL,444
009-001,REGISTERED VOTERS - TOTAL,655
009-002,REGISTERED VOTERS - TOTAL,929
009-003,REGISTERED VOTERS - TOTAL,1314
009-004,REGISTERED VOTERS - TOTAL,2120
009-005,REGISTERED VOTERS - TOTAL,1638
009-006,REGISTERED VOTERS - TOTAL,2369
009-007,REGISTERED VOTERS - TOTAL,1161
009-008,REGISTERED VOTERS - TOTAL,1581
009-009,REGISTERED VOTERS - TOTAL,841
009-010,REGISTERED VOTERS - TOTAL,1163
009-011,REGISTERED VOTERS - TOTAL,294
009-012,REGISTERED VOTERS - TOTAL,974
009-013,REGISTERED VOTERS - TOTAL,844
009-014,REGISTERED VOTERS - TOTAL,935
009-015,REGISTERED VOTERS - TOTAL,1535
010-001,REGISTERED VOTERS - TOTAL,1008
010-002,REGISTERED VOTERS - TOTAL,1058
010-003,REGISTERED VOTERS - TOTAL,529
010-004,REGISTERED VOTERS - TOTAL,599
011-001,REGISTERED VOTERS - TOTAL,1471
011-002,REGISTERED VOTERS - TOTAL,473
011-003,REGISTERED VOTERS - TOTAL,1409
011-004,REGISTERED VOTERS - TOTAL,71
011-005,REGISTERED VOTERS - TOTAL,2026
011-006,REGISTERED VOTERS - TOTAL,1754
011-007,REGISTERED VOTERS - TOTAL,1354
011-008,REGISTERED VOTERS - TOTAL,0
012-001,REGISTERED VOTERS - TOTAL,2579
012-002,REGISTERED VOTERS - TOTAL,278
012-003,REGISTERED VOTERS - TOTAL,638
012-004,REGISTERED VOTERS - TOTAL,1367
012-005,REGISTERED VOTERS - TOTAL,1125
