Precinct,Candidate,Affiliation,Votes
001-001,Chris Chaffee,REP,109
001-002,Chris Chaffee,REP,91
001-003,Chris Chaffee,REP,119
001-004,Chris Chaffee,REP,215
001-005,Chris Chaffee,REP,278
002-001,Chris Chaffee,REP,45
002-002,Chris Chaffee,REP,77
002-003,Chris Chaffee,REP,150
003-001,Chris Chaffee,REP,9
003-002,Chris Chaffee,REP,10
003-003,Chris Chaffee,REP,156
004-001,Chris Chaffee,REP,39
004-002,Chris Chaffee,REP,58
004-003,Chris Chaffee,REP,3
005-001,Chris Chaffee,REP,13
005-002,Chris Chaffee,REP,1
006-001,Chris Chaffee,REP,2
006-002,Chris Chaffee,REP,30
006-003,Chris Chaffee,REP,10
006-004,Chris Chaffee,REP,37
006-005,Chris Chaffee,REP,82
007-001,Chris Chaffee,REP,8
007-002,Chris Chaffee,REP,6
007-003,Chris Chaffee,REP,24
007-004,Chris Chaffee,REP,19
008-001,Chris Chaffee,REP,4
008-002,Chris Chaffee,REP,22
008-003,Chris Chaffee,REP,15
008-004,Chris Chaffee,REP,3
008-005,Chris Chaffee,REP,14
008-006,Chris Chaffee,REP,22
008-007,Chris Chaffee,REP,10
008-008,Chris Chaffee,REP,57
008-009,Chris Chaffee,REP,0
008-010,Chris Chaffee,REP,28
008-011,Chris Chaffee,REP,4
009-001,Chris Chaffee,REP,9
009-002,Chris Chaffee,REP,16
009-003,Chris Chaffee,REP,23
009-004,Chris Chaffee,REP,42
009-005,Chris Chaffee,REP,40
009-006,Chris Chaffee,REP,42
009-007,Chris Chaffee,REP,13
009-008,Chris Chaffee,REP,9
009-009,Chris Chaffee,REP,15
009-010,Chris Chaffee,REP,20
009-011,Chris Chaffee,REP,0
009-012,Chris Chaffee,REP,13
009-013,Chris Chaffee,REP,3
009-014,Chris Chaffee,REP,12
009-015,Chris Chaffee,REP,9
010-001,Chris Chaffee,REP,5
010-002,Chris Chaffee,REP,10
010-003,Chris Chaffee,REP,6
010-004,Chris Chaffee,REP,5
011-001,Chris Chaffee,REP,45
011-002,Chris Chaffee,REP,13
011-003,Chris Chaffee,REP,34
011-004,Chris Chaffee,REP,0
011-005,Chris Chaffee,REP,17
011-006,Chris Chaffee,REP,38
011-007,Chris Chaffee,REP,35
011-008,Chris Chaffee,REP,0
012-001,Chris Chaffee,REP,163
012-002,Chris Chaffee,REP,25
012-003,Chris Chaffee,REP,27
012-004,Chris Chaffee,REP,33
012-005,Chris Chaffee,REP,17
012-006,Chris Chaffee,REP,20
012-007,Chris Chaffee,REP,17
012-008,Chris Chaffee,REP,85
012-009,Chris Chaffee,REP,10
012-010,Chris Chaffee,REP,22
012-011,Chris Chaffee,REP,9
012-012,Chris Chaffee,REP,16
013-001,Chris Chaffee,REP,38
013-002,Chris Chaffee,REP,85
013-003,Chris Chaffee,REP,40
013-004,Chris Chaffee,REP,187
013-005,Chris Chaffee,REP,49
013-006,Chris Chaffee,REP,5
013-007,Chris Chaffee,REP,7
013-008,Chris Chaffee,REP,16
013-009,Chris Chaffee,REP,11
013-010,Chris Chaffee,REP,25
013-011,Chris Chaffee,REP,125
013-012,Chris Chaffee,REP,67
014-001,Chris Chaffee,REP,9
014-002,Chris Chaffee,REP,13
014-003,Chris Chaffee,REP,6
014-004,Chris Chaffee,REP,38
014-005,Chris Chaffee,REP,7
015-001,Chris Chaffee,REP,23
